stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,pericytes,pronephros,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0.81,0,0,0
 48-58,0,0.57,0,0,0,0,0,0,0,0,0,6.89,0.57,0,0,1.72,0,0,0,1.15,0,0,0
 60-70,0,8.83,0.98,0,0,0.98,0,0,0,0.98,0,57.91,0,0,0,4.91,0,0,0,0.98,0,0,0
 72-82,0,16.69,1.96,0.98,0,0,2.94,7.85,0,0,0,196.33,0,0,7.85,20.61,0,0,0,2.94,0,0.98,2.94
 84-94,0,32.92,1.06,2.12,0,3.19,0,7.43,1.06,1.06,0,148.69,0,1.06,2.12,4.25,0,1.06,0,3.19,0,4.25,1.06
 96-106,0,26.23,0,6.56,0,4.37,6.56,10.93,1.09,1.09,0,147.53,1.09,2.19,5.46,21.86,1.09,0,1.09,2.19,2.19,1.09,2.19
108-118,0,26.04,0,8.43,0,6.13,3.06,3.06,0.77,1.53,0,160.85,0,0.77,3.83,16.85,0.77,0,2.3,1.53,0,8.43,0
120,0,29.4,3.92,1.96,1.96,3.92,1.96,5.88,0,0,1.96,111.71,1.96,0,1.96,11.76,0,0,1.96,1.96,1.96,3.92,0
