stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,4,0,0,5,0,0,0,0,1,1,0,0,0,0,0,19,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,8.21,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,32.01,0,0.82,0,0,0.82,5.75,0,0,0,0,0,0.82,0.82,1.64,0,0,0,0
 36-46,0,6.45,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0,12.89,0,0.81,0,0,0,3.22,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,8.03,0,0,0,0,0.57,0,0,0,0.57,0,0,0,0,0,6.31,0,2.3,0,0,0,3.44,0,0,0,0.57,0,0.57,0,0.57,0,0,0,0
 60-70,0,1.96,0,1.96,0,0,6.87,0,0,0,10.8,0,0,0,0,0,3.93,0,1.96,0,0.98,0,7.85,0,0,0,0,0,1.96,0,0.98,0,0,0,0
 72-82,0,7.85,0,0.98,1.96,0,34.36,0,0.98,5.89,125.65,0.98,0.98,0.98,0,0,9.82,0.98,7.85,0.98,0,0.98,29.45,0.98,0.98,0,0,0,0.98,0,1.96,0.98,0,0,0.98
 84-94,0,5.31,0,2.12,0,0,38.23,0,0,3.19,241.08,0,0,0,0,0,7.43,0,10.62,0,0,0,24.43,0,0,0,0,2.12,7.43,0,0,0,2.12,0,0
 96-106,0,8.74,0,7.65,2.19,1.09,76.5,1.09,0,5.46,404.35,0,2.19,1.09,1.09,1.09,29.51,1.09,7.65,0,0,1.09,62.29,0,1.09,0,2.19,8.74,12.02,0,0,1.09,2.19,0,0
108-118,0,9.96,0,1.53,3.06,0,91.92,0.77,0,3.06,458.05,0,0.77,0.77,2.3,0,42.13,0,7.66,0,0,0.77,55.92,0,0,0,0,4.6,15.32,0,1.53,0.77,2.3,0.77,0.77
120,0,3.92,0,1.96,0,0,23.52,0,0,3.92,243.01,0,0,1.96,0,1.96,21.56,0,1.96,0,0,0,41.16,0,0,0,0,3.92,21.56,0,0,0,1.96,0,0
