stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,2,1,0,5,0,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0.82,0,0,0,0,0,0.82,0,0,45.97,0,0,0,0,0,0.82,0.82,9.85,0,0,2.46,0,0
 36-46,0,0,0,0,0,0.81,0.81,0,0.81,0.81,1.61,0,0,0,0.81,0.81,0.81,0,57.2,0,0,0,0,0,0.81,0,7.25,0,0,0,0,1.61
 48-58,0,0,0.57,0,0,5.74,0,0,0,0,4.59,0,0,1.72,3.44,1.72,0,0,54.51,0,0,0,0,0,0,0,4.59,0,1.15,0.57,0,3.44
 60-70,0,0,0,0,0,16.69,0,0.98,0.98,0,0.98,0,0.98,0,2.94,4.91,0,0,88.34,0,0,0,1.96,0,0,0,2.94,0,0.98,0.98,0,5.89
 72-82,0,0,0,0.98,0,37.3,0,0,3.93,0.98,2.94,0.98,0,0.98,0.98,9.82,0,0,107,0,0,0.98,0,0,2.94,0,3.93,0.98,0.98,0.98,0,8.83
 84-94,2.12,0,1.06,0,0,29.74,0,0,3.19,1.06,0,1.06,0,4.25,4.25,3.19,1.06,1.06,52.04,1.06,0,0,0,0,0,0,5.31,0,2.12,0,2.12,9.56
 96-106,0,0,2.19,0,0,26.23,0,0,5.46,1.09,4.37,4.37,0,1.09,2.19,5.46,0,1.09,49.18,0,0,0,0,0,1.09,0,2.19,0,2.19,0,4.37,4.37
108-118,0,2.3,0,0,0.77,28.34,0.77,0,4.6,0.77,0,0.77,0,9.96,7.66,3.83,0,0,79.66,0,0,0,0,0,0,0,0.77,0,0,0,3.06,12.26
120,0,1.96,5.88,0,0,21.56,0,0,0,0,0,1.96,0,7.84,0,3.92,0,1.96,94.07,0,0,0,0,0,0,0,1.96,0,0,0,0,1.96
