stage,endocrine_pancreas,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0
 14-21,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,6,1,0,0,0,1,2,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0,0.82,0,0,7.39,0,0,0,0,0,1.64,0,0
 36-46,0,0,1.61,1.61,0,0,0,0,0,0,0,0,0,0,0,4.83,0,0.81,0,0,0,1.61,0,0
 48-58,0.57,0,0.57,2.87,0,0,0,0,0,0,0,0,0.57,0,0,6.31,0,0.57,0,0.57,0,1.15,0,0
 60-70,0,0,0,16.69,0,2.94,0,0,0,0,0,0,0.98,0,0,4.91,0.98,0,0,1.96,0,0,0,0
 72-82,0,0,0.98,13.74,0,1.96,0,0,0,0,0.98,0,1.96,0,0.98,0.98,0,0.98,0,0.98,0.98,1.96,0,0.98
 84-94,1.06,0,1.06,6.37,0,0,0,1.06,0,0,0,0,2.12,1.06,0,1.06,0,0,0,1.06,0,0,0,0
 96-106,0,0,2.19,6.56,0,0,0,0,1.09,0,2.19,1.09,5.46,0,0,1.09,0,2.19,0,2.19,0,2.19,0,1.09
108-118,0,0,2.3,4.6,0.77,0.77,0,0,0,0.77,0.77,0.77,0,0,0,3.83,0,3.06,0,2.3,0,0.77,0.77,0
120,0,0,0,5.88,0,0,1.96,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0
