stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,gut,heart,immune,ionocyte,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,5,1,2,0,0,0,0,0,0,0,1,0,0,1,24,0,0,0,1,0,0,0,0,1,6,0,0,0,0
 24-34,0,0,0,3.28,0,4.1,0,0.82,0,0,0,0.82,0,2.46,0,0,2.46,55,0,0.82,0,0,0,0,2.46,0,0,11.49,0,0,1.64,0
 36-46,0,0,0,1.61,0.81,8.06,0,0.81,0,0.81,0,0.81,0,5.64,0,0,0.81,47.53,0,0,0,0,0,0,0.81,0,0,9.67,0,0,0.81,0
 48-58,0,0,0,1.72,0,30.41,0,6.31,0,0.57,0,0,0,8.03,0,0.57,2.3,60.25,0,0.57,0,0,0,0,0.57,0,0,16.07,0,0,1.72,0
 60-70,0,0,0,0,1.96,152.14,0,1.96,0.98,0,0.98,0,0,7.85,0,0,0,30.43,0,1.96,0,0,0.98,0,0,0,0,2.94,0,0,0,0
 72-82,0,0,0,1.96,0.98,184.55,0,3.93,0,0,0,0,0.98,8.83,0,0.98,1.96,37.3,0,0.98,0,0,0,0,0.98,0,0,3.93,0.98,0,0,0
 84-94,0,0,0,1.06,2.12,130.63,1.06,1.06,1.06,0,0,1.06,0,7.43,0,0,1.06,16.99,0,0,0,0,0,1.06,1.06,0,0,0,1.06,0,0,0
 96-106,0,0,0,2.19,1.09,104.91,1.09,5.46,1.09,0,1.09,0,0,4.37,0,0,1.09,24.04,1.09,0,1.09,0,0,1.09,4.37,1.09,0,1.09,0,1.09,0,2.19
108-118,0,0,0.77,1.53,0,90.38,0,2.3,0.77,0,0,0,0,3.83,0,0,0.77,16.09,0.77,0,0,0,0,0,0,0,0,1.53,0.77,0,0,0
120,0,0,0,3.92,1.96,94.07,0,7.84,0,0,3.92,1.96,0,7.84,1.96,1.96,1.96,21.56,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0
