stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal.cord,vasculature
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,20,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28,28.73,0,0,0.82,2.46,0.82,0,0
 36-46,0,0,0,0,0,1.61,0,0,0,0,0,0,0.81,0,0,7.25,49.15,0,0,0,7.25,0,0,0.81
 48-58,0,0,0,0,0,1.15,0,0,0,0,0,0,1.15,0,0,12.05,20.66,0,0,0,9.18,0,0.57,0
 60-70,0,0,0,0,0,3.93,0,0.98,0,0,0,0,2.94,0.98,0.98,9.82,17.67,0,0,0,19.63,0,1.96,0.98
 72-82,0,0,0,0,0.98,11.78,0,0,0,0.98,0,0,6.87,0,0,21.6,16.69,0.98,0,0,51.05,0,0.98,0
 84-94,0,0,0,0,1.06,6.37,0,0,2.12,1.06,0,0,4.25,0,0,13.81,28.68,1.06,1.06,3.19,103.02,0,1.06,0
 96-106,0,0,0,1.09,0,4.37,0,0,1.09,1.09,2.19,1.09,1.09,0,1.09,13.11,18.58,0,0,0,95.08,0,0,0
108-118,0,0,0.77,0,1.53,6.89,0.77,3.06,0,3.06,0,0,5.36,0,0,21.45,23.74,0,0.77,0.77,109.53,0,0,0
120,0,0,0,0,3.92,0,0,0,0,0,0,1.96,3.92,0,0,7.84,27.44,0,0,1.96,60.75,0,1.96,0
