stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,137,1,0,1,0,0,0,2,0,0,1,70,0,0,0,0,0
 24-34,0,0,3.28,0.82,0,7.39,0,0,2.46,0,0,0,0,0,0,0,0,0,0,2.46,0,0,2.46,714.14,0.82,2.46,0.82,0,0,1.64,0,0,0,0,274.17,0,0,0.82,0,0
 36-46,0,0,5.64,0,0,29.81,0.81,0,2.42,3.22,0,0,0.81,0,0,0,0,0,0.81,8.86,0,0,1.61,1743.47,0,0.81,0,0,0,5.64,0,0,0.81,0,364.16,0,0,2.42,0,2.42
 48-58,0,0,8.61,1.15,0,191.65,0,1.72,1.15,21.23,0.57,0,1.15,0,0,0,0.57,0.57,1.15,33.28,0.57,1.15,6.31,2602.78,1.72,2.87,2.3,0,0,5.74,0,0,1.72,0,395.93,0,0,1.72,0,4.02
 60-70,0,0.98,7.85,0,0,514.32,0.98,2.94,2.94,33.37,0.98,0.98,0.98,0.98,0,0,0.98,0,0.98,41.22,0,2.94,1.96,3123.2,0.98,0.98,2.94,0,0,8.83,0,0,0.98,0,487.82,0.98,0,0.98,0,5.89
 72-82,1.96,0.98,33.38,3.93,0,1175.05,0,1.96,2.94,99.15,1.96,0,0,0.98,4.91,0,0,1.96,0.98,58.9,0,1.96,2.94,2718.22,0,5.89,6.87,0,0,1.96,0,0,0,0,328.86,4.91,1.96,2.94,2.94,5.89
 84-94,1.06,0,41.42,3.19,0,743.43,2.12,1.06,2.12,75.4,2.12,0,1.06,1.06,4.25,2.12,1.06,1.06,1.06,48.85,1.06,6.37,2.12,1380.65,0,3.19,3.19,0,1.06,10.62,0,1.06,1.06,0,160.37,2.12,3.19,6.37,3.19,1.06
 96-106,2.19,0,38.25,6.56,2.19,772.64,1.09,4.37,1.09,79.78,7.65,0,0,4.37,1.09,6.56,0,7.65,0,37.16,1.09,2.19,6.56,1199.95,2.19,0,7.65,0,3.28,9.84,0,0,1.09,0,63.39,3.28,1.09,1.09,2.19,2.19
108-118,0.77,0.77,19.92,5.36,0.77,489.45,0,2.3,5.36,44.43,7.66,0,0,5.36,0.77,1.53,0,1.53,0,34.47,0.77,2.3,4.6,1295.24,3.06,5.36,5.36,0,0,7.66,0,0.77,0,0,50.55,1.53,1.53,1.53,3.06,0.77
120,0,1.96,41.16,3.92,0,507.58,1.96,5.88,5.88,45.08,1.96,0,0,5.88,0,1.96,1.96,0,0,31.36,0,0,15.68,1505.12,5.88,0,9.8,0,0,13.72,0,1.96,0,0,48.99,0,0,9.8,1.96,0
