stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,2,1,0,0,0,0,48,0,0,0,0
 24-34,0,0,0,0.82,2.46,0,9.03,0,0.82,0,0.82,0,0,0,0,0,0.82,0,0.82,0,0,0,225.74,0,8.21,0.82,0,0,0,72.24,0,0,0,0
 36-46,0,0,0.81,0,2.42,0,66.06,0,0,0,1.61,0,0,0,0,0,0,0,3.22,0,0,0,484.21,0,2.42,0,0,0,0,115.21,0,0,0,0
 48-58,0,0,0.57,0,2.3,0,175.58,0,0,0,9.18,0,0.57,0.57,0,0,0,0.57,15.49,0,0,1.15,582.41,0,2.87,1.15,0.57,0,0,105.01,0,0.57,0,0
 60-70,0,0,0.98,0,0.98,0,311.14,0,0,0.98,10.8,0.98,0,0,0,0,0,0,30.43,0,0,0.98,776.38,0.98,4.91,2.94,0.98,0,0,76.56,0,0.98,0,0.98
 72-82,0,0,3.93,0,5.89,0,278.79,0,0,0,13.74,0.98,0,0.98,0.98,0,0.98,0,54.97,0,0.98,0,545.8,0,1.96,4.91,2.94,0.98,0,44.17,0.98,0,0.98,0.98
 84-94,0,0,1.06,0,6.37,1.06,157.18,0,0,1.06,13.81,1.06,0,2.12,0,2.12,0,1.06,62.66,0,1.06,0,245.33,0,1.06,10.62,1.06,0,1.06,22.3,1.06,0,1.06,0
 96-106,0,0,2.19,0,4.37,1.09,133.33,0,1.09,1.09,6.56,3.28,0,2.19,0,0,0,0,55.74,1.09,0,1.09,195.62,0,4.37,6.56,2.19,0,0,7.65,4.37,1.09,0,0
108-118,0,0,3.06,0,3.83,0.77,96.51,0,0.77,0.77,9.19,0.77,0,6.89,0,4.6,0,0,39.06,0,0,0,225.96,0,2.3,7.66,0,0,0,6.13,1.53,0.77,0,0
120,0,0,1.96,0,1.96,0,99.95,1.96,0,1.96,1.96,1.96,0,3.92,0,0,0,0,48.99,0,0,0,195.98,0,0,5.88,0,0,0,17.64,3.92,0,0,0
