stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0.82,0,12.31,0,0,0.82,0,0,0,0.82,0,0.82,4.1,0,2.46,27.09,0.82,0,0,0,1.64,0,0,0.82,4.93,0,0,0
 36-46,0,0,0,35.45,0,0,0.81,0,0,0,0,0,0,4.03,0,1.61,32.23,0,0.81,0,0,3.22,0.81,0.81,0,6.45,0,1.61,0
 48-58,0,0,0,28.12,0,0,0.57,0,0,0,0,0,0,2.3,0,0,14.92,0.57,0,0,0,0,0,0,0,2.87,0,0,0
 60-70,0,0,0.98,45.15,1.96,0.98,0.98,0,0,0.98,0,0,0,2.94,0,0,22.58,0,0,0,0,0,0,0,0,1.96,0,0,0.98
 72-82,0,0,1.96,40.25,0,0,3.93,0.98,0.98,0,0.98,0,0,6.87,0,0,17.67,0,0,1.96,0,1.96,0,0,0,0.98,0.98,0,0
 84-94,0,0,0,41.42,0,0,2.12,0,0,1.06,0,0,0,3.19,0,1.06,1.06,0,0,0,0,1.06,0,0,0,0,0,0,0
 96-106,0,1.09,1.09,27.32,0,0,0,0,0,0,0,0,0,1.09,1.09,0,4.37,0,0,0,0,3.28,0,0,0,0,0,2.19,0
108-118,0,1.53,0,32.94,0.77,0.77,2.3,0,0,0,0,0.77,0,2.3,0,0,10.72,0,0,0,0,0.77,0,0,0,0,0,1.53,0
120,0,0,0,25.48,0,1.96,0,0,0,0,0,0,0,7.84,0,0,7.84,0,0,0,0,1.96,0,0,0,0,0,0,0
