stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,250.38,6602.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303.09,0,0,0,0,0,0,0,0,0,0
  5-6,435.2,5087.6,0,42.91,0,0,0,0,0,0,0,0,0,30.65,0,0,0,0,0,0,0,0,0,0,0,226.8,30.65,0,0,85.81,0,140.98,0,0,0,0,0,0,0,0,0,0
  7-9,223.44,110.41,0,283.9,0,0,0,336.48,0,0,0,0,0,260.24,0,0,0,0,0,0,0,0,0,0,0,3209.66,149.84,0,0,1632.43,0,13.14,28.92,0,0,0,0,0,0,0,0,0
 10-12,0,81.82,0,160.5,0,28.32,0,239.17,0,0,0,0,0,59.79,0,0,0,0,0,0,0,0,0,0,0,2023.5,34.62,0,0,1010.18,0,6.29,15.73,3.15,103.85,0,6.29,12.59,0,0,0,0
 14-21,0,2,0,17,131,36,0,51,0,0,0,11,8,2,1,3,1,0,0,0,0,54,0,0,48,695,27,3,10,37,0,41,0,176,11,0,108,289,0,5,0,0
 24-34,0,0,0,3.28,24.63,4.1,0,124.77,0,0,0.82,22.98,0.82,0,0.82,4.1,1.64,0,0.82,2.46,0,149.4,0,0.82,54.18,1128.68,30.37,12.31,10.67,0,0,96.86,0,0,3.28,0,11.49,287.3,0,29.55,0,1.64
 36-46,0,0,0,0.81,13.7,2.42,0,334.35,0,0,0.81,19.34,0,0,0.81,7.25,0.81,0.81,1.61,2.42,0,121.66,0.81,0,41.09,685.62,11.28,2.42,0.81,0,0,41.09,0,0,2.42,0.81,0,180.47,0,16.11,0,4.03
 48-58,0,0,0,0,11.48,1.15,0,475.11,0,0,1.72,17.79,0.57,0,4.02,4.59,0.57,5.16,1.15,1.15,1.15,142.3,1.15,4.02,22.95,316.17,4.59,0.57,2.87,0,0,20.66,0,0,0.57,0,0,59.68,0,16.07,0,3.44
 60-70,0,0,0,0,11.78,0,0,350.4,0,0.98,0,19.63,3.93,0,1.96,3.93,0,2.94,0.98,0,0,102.08,0,9.82,14.72,151.15,6.87,0,0,0,0,12.76,0,0,0,0,0,11.78,0,8.83,0,0.98
 72-82,0,0,0,0,18.65,1.96,0.98,135.47,0.98,0,1.96,28.47,2.94,0,1.96,4.91,0.98,1.96,0,0,0,120.74,0.98,14.72,14.72,136.45,1.96,1.96,2.94,0,0,8.83,0,0,0.98,0,0,0.98,0.98,17.67,0,0.98
 84-94,0,0,0,0,22.3,4.25,1.06,93.46,0,0,1.06,8.5,10.62,0,0,10.62,2.12,3.19,0,1.06,0,79.65,0,15.93,14.87,99.83,5.31,0,9.56,0,0,13.81,0,0,1.06,0,0,2.12,1.06,19.12,1.06,1.06
 96-106,0,0,0,0,16.39,3.28,0,81.96,0,0,0,21.86,6.56,0,2.19,15.3,0,1.09,2.19,1.09,0,55.74,0,5.46,10.93,85.24,3.28,5.46,4.37,0,0,12.02,0,0,1.09,0,0,1.09,2.19,14.21,0,0
108-118,0,0,0.77,0,12.26,3.83,2.3,81.96,0,0.77,0,16.85,6.89,0,0,9.19,0.77,0.77,0,3.06,0.77,42.13,0,3.06,11.49,98.04,2.3,3.06,3.06,0,0,11.49,0,0,0.77,0,0,1.53,1.53,9.19,0,0
120,0,0,0,0,1.96,7.84,0,58.79,0,0,0,21.56,0,0,1.96,13.72,1.96,0,0,0,0,25.48,0,1.96,13.72,76.43,1.96,0,1.96,0,1.96,3.92,0,0,0,0,0,3.92,1.96,5.88,0,1.96
