stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,3,62,8,0,29,0,1,0,6,0,1,0,0,2,0,0,0,21,0,0,13,449,6,2,3,4,0,11,21,3,0,13,99,0,0,2,0,1
 24-34,0,4.93,0.82,0,100.97,0,4.93,0,9.85,0.82,0,0.82,8.21,3.28,0,0.82,0.82,41.86,0.82,0,13.95,689.52,2.46,9.03,4.93,0,0,41.86,0,0.82,0,0.82,132.98,0,0,13.13,0,1.64
 36-46,0.81,4.83,2.42,0,302.13,0.81,3.22,0,16.92,1.61,0,0,5.64,1.61,0.81,0.81,0.81,45.92,0,0,5.64,561.55,0,6.45,1.61,0,0,131.32,0,0,0,0,119.24,0,0,10.47,0,3.22
 48-58,0,7.46,0.57,0,247.88,0,2.87,0,12.05,1.15,0,0.57,9.75,1.15,1.15,2.3,0,37.87,0,1.72,4.59,280.02,0,1.15,1.72,0,0,129.11,0,0,0,0,45.9,0,0,6.89,0,0.57
 60-70,0,17.67,0,0,225.75,0.98,3.93,0,14.72,0.98,0,0.98,17.67,0,0,1.96,1.96,45.15,3.93,1.96,5.89,193.36,0,4.91,3.93,0,0,120.73,0,0,0.98,0,11.78,0,0,4.91,0,0.98
 72-82,0.98,23.56,0,0,59.88,0.98,0.98,0.98,18.65,1.96,0,1.96,17.67,0.98,1.96,1.96,0,35.34,0.98,2.94,5.89,94.24,0,7.85,0.98,0,0,154.12,0,0,0,0,2.94,0.98,2.94,10.8,0,0
 84-94,0,47.79,1.06,1.06,64.78,1.06,6.37,0,12.74,7.43,0,1.06,15.93,1.06,1.06,1.06,0,38.23,3.19,1.06,5.31,59.47,0,11.68,2.12,0,0,391.89,0,1.06,0,0,2.12,0,0,10.62,1.06,0
 96-106,0,57.92,0,0,33.88,2.19,6.56,1.09,17.49,6.56,0,4.37,14.21,2.19,1.09,7.65,0,21.86,4.37,0,5.46,53.55,0,14.21,2.19,0,0,312.55,0,0,1.09,0,4.37,0,3.28,8.74,1.09,0
108-118,0,55.92,1.53,0.77,37.53,0.77,10.72,0,7.66,7.66,0,0,17.62,7.66,0,3.06,0,11.49,3.06,1.53,1.53,58.21,0.77,8.43,0.77,0,0.77,220.6,0,0,2.3,0,0,0.77,1.53,9.96,0.77,0
120,0,31.36,3.92,0,64.67,0,5.88,1.96,15.68,1.96,0,0,27.44,3.92,0,0,0,17.64,3.92,0,5.88,125.43,0,7.84,3.92,0,0,113.67,0,0,1.96,0,0,0,0,7.84,0,0
