stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,2,7,77,6,0,19,0,0,11,6,2,0,0,2,0,0,0,0,22,0,0,22,353,10,3,13,11,0,6,1,10,3,9,121,0,0,0,0,0
 24-34,1.64,3.28,13.13,1.64,0,45.15,0.82,0,14.78,0.82,0,1.64,0,2.46,1.64,5.75,0.82,1.64,45.97,0,0,16.42,501.54,0.82,13.13,14.78,0,0,4.1,0,0.82,4.1,2.46,123.13,0,0,12.31,0,1.64
 36-46,0.81,0,7.25,0,0,66.87,1.61,1.61,20.95,2.42,0,0,0,0,0.81,1.61,0,0.81,67.68,0,0.81,15.31,459.23,0,16.11,10.47,0,0,2.42,0,0,0.81,0,110.38,0,0.81,4.83,0,0
 48-58,0,0,6.89,0.57,0,96.97,1.15,2.3,29.84,0.57,0.57,0.57,0,0,0.57,1.72,1.15,1.72,92.38,0,5.74,12.05,187.06,1.15,2.87,9.75,0,0,1.15,0.57,0,1.15,0,50.49,0,0.57,5.74,0,1.72
 60-70,0,0,12.76,0,0,71.65,0,1.96,33.37,2.94,0,0,1.96,0,0,3.93,0,0,109.93,0,6.87,12.76,162.93,1.96,4.91,12.76,0,0,0.98,0,0,0.98,0,14.72,0,1.96,2.94,1.96,1.96
 72-82,2.94,0,13.74,3.93,0,81.48,3.93,4.91,54.97,0,0,2.94,0,3.93,0.98,7.85,0,0,140.38,0,2.94,14.72,219.89,0.98,11.78,17.67,0,0.98,0.98,0,0,2.94,0,11.78,1.96,1.96,10.8,2.94,1.96
 84-94,1.06,0,13.81,1.06,0,61.6,1.06,2.12,36.11,4.25,0,0,7.43,2.12,1.06,4.25,3.19,3.19,107.27,1.06,3.19,8.5,111.51,0,5.31,22.3,0,1.06,5.31,0,0,2.12,0,8.5,3.19,3.19,8.5,3.19,0
 96-106,3.28,0,6.56,1.09,1.09,59.01,3.28,1.09,51.36,12.02,0,3.28,4.37,3.28,5.46,3.28,1.09,0,63.39,0,6.56,5.46,109.28,2.19,12.02,26.23,0,4.37,1.09,1.09,0,3.28,0,4.37,0,1.09,13.11,3.28,1.09
108-118,0.77,0,14.55,3.83,0.77,42.89,0.77,6.89,40.6,3.83,0,1.53,0.77,0.77,2.3,2.3,1.53,0.77,61.28,0.77,5.36,3.83,111.83,0.77,8.43,20.68,0,0,3.06,0,0,1.53,0,3.83,0,0,4.6,0.77,1.53
120,0,0,11.76,5.88,0,31.36,3.92,0,43.12,7.84,0,0,3.92,0,0,5.88,1.96,0,37.24,0,1.96,5.88,99.95,1.96,3.92,17.64,0,1.96,3.92,0,0,7.84,0,3.92,0,1.96,3.92,1.96,0
