stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,2,1,0,0,0,0,0,0,0,1,0,0,1,42,0,0,0,0,0,0,0,13,0,0,0,0
 24-34,0,0.82,0,0,0,1.64,0,0.82,0,0,0,0,0,8.21,0,0,17.24,73.06,0,0,0,0,0,0,0.82,13.95,0,0.82,0,0.82
 36-46,0,0.81,0,0,0,2.42,0,4.83,0,0,0,0,0,14.5,0,0,37.87,41.09,0,0,0.81,0,0.81,1.61,0,5.64,0,2.42,0,0
 48-58,0,0,0,0,0,9.18,1.15,3.44,0,0,0,0,0,36.15,0,0.57,30.41,19.51,0,0.57,0,0,0,0,0,6.89,0,0.57,0,0
 60-70,0,0,0,0,0,7.85,0.98,8.83,0,0,0,0.98,0,51.04,0,0,16.69,9.82,0,0,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,0,0,3.93,0,1.96,0,0,0.98,2.94,0,89.33,0,2.94,24.54,8.83,0,0,0,0,0,0,0,0,1.96,0,0,0
 84-94,0,0,0,1.06,0,7.43,0,3.19,0,0,0,1.06,0,47.79,1.06,2.12,18.05,9.56,0,0,0,0,2.12,0,0,0,2.12,0,1.06,0
 96-106,0,1.09,0,2.19,1.09,7.65,0,2.19,1.09,1.09,0,0,1.09,79.78,0,0,14.21,9.84,0,1.09,0,0,3.28,1.09,0,0,1.09,0,1.09,0
108-118,0,0,0.77,1.53,0,6.89,0.77,4.6,0,0.77,0,0.77,0,67.4,0.77,0,9.96,14.55,0,0,0,0,2.3,0,0,0.77,1.53,2.3,0,0
120,0,0,0,1.96,0,3.92,0,1.96,0,0,0,0,0,50.95,0,0,3.92,11.76,0,0,0,0,3.92,0,0,0,1.96,0,0,0
