stage,eye,glial,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,spinal.cord
  7-9,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0
 24-34,0,0,0,0,0,1.64,0,0,3.28,0,0
 36-46,0.81,0,0.81,0,0,0.81,0.81,0,2.42,0,1.61
 48-58,0,1.15,0,0.57,0,0,0,0,3.44,0,0
 60-70,0.98,1.96,0,0,0,1.96,0,0,0.98,0,0.98
 72-82,0.98,4.91,0,0,0.98,0,0,0,5.89,0,0
 84-94,1.06,3.19,1.06,0,0,2.12,0,0,8.5,0,0
 96-106,0,3.28,0,0,0,0,0,1.09,1.09,0,0
108-118,0,2.3,0.77,0,0,0.77,0,0,6.13,0,0
120,0,3.92,0,0,0,0,0,0,5.88,0,0
