stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,ionocyte,liver,mesenchyme,mucous,neural,periderm,slow.muscle,spinal.cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,4,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0.82,1.64,15.6,0.82,0
 36-46,0,0,0,0,0,0,0,0,0.81,0,16.92,12.89,0,0
 48-58,0,1.15,0.57,0,0,0,0,0.57,0,1.15,30.99,6.89,0.57,0
 60-70,0,0.98,4.91,2.94,0,0,0,1.96,0,8.83,35.33,2.94,0,0
 72-82,0,0,3.93,0,0,0,0.98,0,0,0,38.28,1.96,0.98,0
 84-94,0,0,6.37,0,0,2.12,0,1.06,1.06,0,83.9,3.19,0,0
 96-106,0,1.09,7.65,0,0,0,0,0,0,0,33.88,3.28,0,0
108-118,0,0,5.36,0,0.77,0.77,0,0,0,0,9.19,1.53,0,0.77
120,0,0,7.84,0,0,0,0,0,0,0,13.72,0,0,0
