stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,gut,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,0,0,0,0,0,0,15.77,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,3.15,6.29,0,3.15,0,0,0,0,0
 14-21,0,50,0,0,18,0,0,0,0,0,0,0,0,2,0,1,0,0,1,1,0,0,0
 24-34,0,15.6,0.82,0.82,41.86,0,0,0,0,0,0,0,0,4.93,0,0,1.64,0,0,0,0,0,2.46
 36-46,0,5.64,0,0.81,20.95,0,0,0,0.81,1.61,0.81,0,0,4.03,0,0,1.61,0,0,0.81,0,0,0.81
 48-58,0,6.31,0,0.57,17.79,0,0.57,0,0,1.72,0.57,0,0,4.02,0,0,0,0,0,0.57,0,0,0
 60-70,0,13.74,0,0.98,22.58,0,0,0.98,1.96,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0
 72-82,0,4.91,0,1.96,14.72,0.98,0,0,1.96,2.94,0,0.98,0.98,3.93,0,0,0.98,0,0,0,0,0.98,0.98
 84-94,0,14.87,0,2.12,20.18,0,1.06,1.06,2.12,2.12,0,0,0,2.12,0,0,0,0,0,0,1.06,0,0
 96-106,0,15.3,0,2.19,30.6,1.09,0,1.09,0,1.09,0,0,1.09,1.09,0,0,0,0,0,0,2.19,0,0
108-118,0,19.92,0,1.53,29.11,1.53,0.77,3.06,2.3,0.77,0,0.77,0,1.53,0,0,0,0,0,0,3.83,0,0
120,0,15.68,0,3.92,9.8,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0,0,1.96,1.96,0
