stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,3.15,0,0,18.88,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,5,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,2,4,19,1,0,0,0,2,2,1,8,6,0,0,1,0
 24-34,0,0,0,0,1.64,0,0,3.28,0,0,0.82,2.46,0,0.82,0,0,0,0,0,0,9.85,1.64,37.76,0,0.82,0,0,3.28,0,0,1.64,5.75,0,0,1.64,0
 36-46,0,0,0,0,1.61,0,0,2.42,3.22,0,0,1.61,0,0,0,0,0,0,0,0,5.64,1.61,26.59,0,0,0,0,4.83,0,0,0,11.28,0,0,2.42,0
 48-58,0,0,0,0,2.87,0,0,16.07,0.57,0,1.15,6.31,0,0.57,0.57,0,0.57,0,0.57,0.57,10.9,0.57,30.99,0.57,0,0,0,0.57,0,1.15,0,6.89,0,0,0,0
 60-70,0,0,0,0,1.96,0,0,9.82,0.98,0,0,1.96,0,0,0.98,0.98,0.98,0,0,0,10.8,0.98,43.19,0,0,0.98,0,3.93,0,0,0,4.91,0.98,0.98,0.98,0
 72-82,0,0,0,0,2.94,0,0,18.65,0,0,0.98,2.94,0.98,1.96,0,0,0,0,0,0.98,12.76,4.91,23.56,0,0,0,0,4.91,0,0,0,3.93,0.98,0.98,1.96,1.96
 84-94,0,0,1.06,0,0,0,0,8.5,0,1.06,0,2.12,3.19,0,1.06,0,0,0,0,0,4.25,3.19,15.93,0,0,2.12,0,11.68,0,0,0,1.06,0,0,0,0
 96-106,0,0,0,0,3.28,0,0,12.02,0,1.09,0,5.46,2.19,2.19,2.19,0,1.09,0,2.19,0,12.02,0,8.74,1.09,0,0,0,6.56,0,0,0,2.19,1.09,1.09,3.28,2.19
108-118,0,0,0,0,6.89,0,0.77,3.83,0,0,0,1.53,2.3,0.77,0.77,0,0.77,0.77,0,0,3.83,2.3,18.38,1.53,0,1.53,0,12.26,0,0.77,0,2.3,0,0,2.3,2.3
120,0,0,0,0,9.8,1.96,1.96,9.8,1.96,0,3.92,3.92,0,1.96,0,0,0,1.96,0,0,9.8,3.92,29.4,3.92,0,0,0,11.76,0,0,0,1.96,1.96,1.96,0,0
