stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.3,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,2.63,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,2.63,0,13.14,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,31.47,0,0,0,6.29,0,15.73,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,42,0,1,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,8,4,0,0,0,0,172,1,0,0,1,0,0,0,0,0,0
 24-34,0,0,13.13,0,2.46,0,0,0,0.82,0.82,0,0,3.28,0,0.82,0,4.93,0.82,0,1.64,27.09,0,0,0,0,0,379.24,0,0.82,0,4.1,12.31,0,0,0.82,0,0
 36-46,0,0,8.06,0,0,0,2.42,0,0.81,0,0.81,0,2.42,0,0,0,11.28,1.61,0.81,1.61,26.59,4.83,0.81,0,0,0,227.2,0,0,0,0,8.06,0,0,0.81,0,0
 48-58,0,0,5.74,0,5.74,0.57,0.57,0,3.44,1.72,0,0,1.15,0,0,1.72,22.95,2.87,0.57,2.3,30.99,0.57,0,0,0,0,141.73,0,0.57,0.57,0,6.31,0,0,0.57,0,0.57
 60-70,0,0,20.61,0,4.91,5.89,0.98,0,0,7.85,0,0.98,2.94,0,0,0.98,33.37,1.96,0,3.93,42.21,1.96,0.98,0,0.98,0,131.52,0,0,0,0,10.8,0,0,0,0,0
 72-82,0,0,33.38,0.98,11.78,2.94,0.98,0.98,2.94,19.63,0.98,0.98,6.87,0,0.98,0,65.77,0,2.94,8.83,43.19,2.94,1.96,0.98,0,0,103.07,0,0,0.98,0,5.89,4.91,0,0.98,2.94,0
 84-94,0,1.06,72.22,0,15.93,4.25,3.19,0,3.19,47.79,0,0,8.5,0,0,0,39.3,2.12,3.19,5.31,26.55,3.19,1.06,0,0,1.06,267.63,0,2.12,0,0,3.19,11.68,0,0,0,0
 96-106,0,0,159.56,1.09,14.21,6.56,0,0,5.46,79.78,0,1.09,4.37,1.09,0,0,48.09,3.28,6.56,8.74,39.34,4.37,1.09,2.19,0,0,179.23,0,2.19,0,0,2.19,21.86,0,1.09,1.09,0
108-118,0,0,151.66,2.3,5.36,5.36,2.3,0,2.3,81.19,0,0.77,9.96,0,0,0,41.36,1.53,4.6,9.96,39.06,2.3,0.77,0,0,0,104.17,0,0.77,0.77,0,1.53,23.74,0.77,0.77,0.77,0
120,0,0,166.58,0,3.92,9.8,1.96,0,5.88,82.31,0,0,1.96,0,0,0,43.12,5.88,5.88,3.92,43.12,3.92,0,1.96,0,0,137.18,0,0,1.96,0,0,11.76,1.96,1.96,0,0
