stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,147.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,31.54,0,2.63,0,39.43,0,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,281.27,28.92,0,0,123.55,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,25.18,0,18.88,0,3.15,0,28.32,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,3.15,412.25,22.03,0,0,160.5,0,0,9.44,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,2,1,18,7,0,19,0,0,0,10,0,0,1,0,0,0,0,0,0,20,0,20,275,5,0,2,4,0,0,1,14,2,4,23,93,0,0,4,0,0
 24-34,0,0,0,4.93,9.85,0.82,0,41.86,0,0,0,9.85,0.82,0,0.82,0,0,0,0,0,0,37.76,0.82,18.88,595.12,0.82,9.03,1.64,0,0,0,0,0,0,0,5.75,161.71,0,0,8.21,0,0
 36-46,0,0,0,0,3.22,0,0,105.54,0,1.61,1.61,38.67,0,0.81,1.61,0,0.81,0,0.81,0,0,45.12,0.81,14.5,936.99,3.22,6.45,1.61,0,0,0,0.81,0,0,0.81,0,194.97,0,0,8.86,0,0.81
 48-58,0,0,0,0,1.72,0,0,200.83,1.15,1.72,1.15,44.18,0,0.57,2.3,0,0.57,0,0.57,0.57,2.3,56.81,3.44,6.31,780.95,0.57,4.59,1.15,0,1.15,0,0,0,0.57,0,0,142.3,0,0,5.16,0,0.57
 60-70,0,0,0,0,5.89,0.98,0,511.37,0.98,1.96,4.91,83.43,0,0,0.98,0,0,0.98,0,0,0.98,78.52,1.96,11.78,1408.48,0.98,4.91,1.96,0,0,0.98,0,0,0.98,0.98,0,159.01,0,0.98,6.87,0.98,0.98
 72-82,0,0,0.98,0,6.87,1.96,0,398.55,1.96,0,3.93,84.42,0.98,0,2.94,0,0.98,2.94,0,1.96,0,94.24,5.89,14.72,832.45,0.98,12.76,2.94,0,0,0.98,0,0,0,0.98,0,63.81,0.98,1.96,24.54,2.94,1.96
 84-94,0,0,0,0,12.74,0,0,268.7,1.06,1.06,2.12,67.97,1.06,0,2.12,1.06,1.06,3.19,1.06,1.06,2.12,53.1,3.19,5.31,399.33,1.06,2.12,3.19,0,0,0,0,0,2.12,0,0,39.3,1.06,0,18.05,0,0
 96-106,0,0,1.09,0,6.56,3.28,0,193.43,2.19,3.28,2.19,56.83,2.19,0,3.28,0,0,1.09,0,0,0,61.2,0,7.65,333.32,1.09,8.74,4.37,0,1.09,0,0,0,0,2.19,0,22.95,1.09,3.28,17.49,3.28,1.09
108-118,0,0,0,0.77,14.55,3.06,0.77,152.43,2.3,1.53,4.6,51.32,0.77,0,0.77,0,0.77,4.6,0.77,0,1.53,44.43,3.83,4.6,382.98,0.77,6.13,1.53,0,0.77,1.53,0,0,0.77,2.3,0,6.89,0,0.77,15.32,2.3,2.3
120,0,0,1.96,0,19.6,1.96,0,141.1,3.92,1.96,3.92,56.83,3.92,0,1.96,1.96,0,5.88,0,5.88,0,37.24,0,9.8,438.99,1.96,13.72,5.88,0,7.84,1.96,0,0,1.96,0,0,21.56,1.96,1.96,11.76,1.96,0
