stage,axial,blastomeres,erythrocytes,eye,fast.muscle,glial,heart,muscle,neural,paraxial.mesoderm,periderm,slow.muscle
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,10.51,2.63,0,0
 10-12,0,0,0,3.15,0,0,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,0
 48-58,0,0,0.57,0.57,1.15,0,0,0,2.3,0,0,1.15
 60-70,0,0,0,0.98,0.98,0,0,0.98,0,0,0,0
 72-82,0,0,0,0,2.94,0,0,0,4.91,0,0,0.98
 84-94,0,0,0,0,0,1.06,1.06,1.06,3.19,0,0,0
 96-106,0,0,0,0,3.28,0,0,1.09,2.19,0,0,0
108-118,0,0,0,0,0.77,0.77,0,0,3.83,0,2.3,0
120,0,0,0,0,0,1.96,0,0,1.96,0,0,0
