stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,474.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,128.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,0,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,0,6.29,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,12.59,0,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,3,14,0,3,0,0,0,0,0,18,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,1,1,0,0,0
 24-34,0,0,0,0,0,0,0,3.28,0,0,0.82,0,0,22.98,0,0,0.82,1.64,0,0,0,0.82,10.67,0,0.82,0,0,0,0,0,0,0,0.82,0,0.82,0
 36-46,0,0,0.81,0,0,0,0,16.11,0,0,0.81,0,0.81,23.36,0.81,0,0,0,0,0.81,0,0.81,14.5,0.81,0,0,0,0,0.81,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,70.58,0,0,0,0,1.15,28.69,0.57,0,0,0.57,0,1.72,0.57,0,9.75,0.57,0,0,0,0,0.57,0,0,0,2.87,0,0,0
 60-70,0,0,0,0,1.96,0,0,374.94,0,0,0.98,0,0,24.54,1.96,0,0.98,0,0,0.98,0,0,21.59,0,1.96,0,0,0.98,1.96,1.96,0,0,1.96,0,0,0
 72-82,0,0,0,0,1.96,0.98,0,290.57,0,0,10.8,0,0.98,17.67,0.98,0,0,2.94,0,3.93,0.98,0,24.54,0,0,0,0,0,0,4.91,0,0,0.98,0,0,0.98
 84-94,0,0,0,0,1.06,0,0,204.97,0,1.06,4.25,1.06,0,27.61,2.12,0,1.06,21.24,0,0,0,0,7.43,0,0,1.06,0,1.06,0,21.24,0,0,0,1.06,0,0
 96-106,0,0,0,0,5.46,3.28,0,128.96,0,0,13.11,1.09,0,56.83,2.19,0,6.56,37.16,1.09,6.56,0,1.09,17.49,0,2.19,0,0,1.09,2.19,27.32,0,0,1.09,0,1.09,0
108-118,0,0,0,3.06,1.53,1.53,22.21,241.28,0.77,2.3,29.11,1.53,0,41.36,3.06,3.83,16.09,197.62,3.83,9.96,1.53,0,36.77,0,5.36,3.83,0,0.77,3.06,44.43,0,0,0,0,0,6.89
120,0,0,0,0,0,1.96,1.96,125.43,0,0,15.68,3.92,0,31.36,1.96,1.96,5.88,35.28,0,5.88,0,0,35.28,1.96,3.92,0,0,0,1.96,35.28,0,0,0,0,0,0
