stage,axial,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vasculature
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0,0,0
  7-9,5.26,0,5.26,0,15.77,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,52.57,2.63,0,0,26.29,0,0,0,0,0,0,0
 10-12,0,6.29,9.44,0,6.29,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,59.79,6.29,0,0,15.73,0,3.15,0,0,3.15,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,3.28,0.82,0,0,0,0,0,0,0.82,0,0,0,0,0,1.64,0,11.49,0,0,0,0,4.93,0,0,0.82,0,0,0.82
 36-46,0,0,0,1.61,1.61,0.81,1.61,0,0.81,0,0,0,0,0.81,0,0.81,0,1.61,0,9.67,0,0,0,0,7.25,0,0,0,0.81,0,0
 48-58,0,0,0,0,1.72,1.72,0,0,0.57,0,0,0,0,0,0,0,0,0,1.15,7.46,0,0,0.57,0,1.15,0,0.57,0.57,0,0,0
 60-70,0,0,0,0.98,4.91,0,0.98,0,0.98,0,0,0.98,0,0,1.96,0.98,0.98,3.93,1.96,5.89,0,0,0,0,1.96,0,0,0,0,0.98,0
 72-82,0,0,0,0.98,3.93,0,0,0.98,0.98,0,0,0,0.98,0,0,0,0,0,0,4.91,0,0.98,0,0,0,0,0,0,0,0,1.96
 84-94,0,0,0,0,2.12,0,0,0,0,1.06,0,0,0,1.06,0,1.06,0,0,0,2.12,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,6.56,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0,0,0,0.77,0.77,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0.77,0,0,0.77,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,3.92,3.92,0,0,0,0,0,3.92,0,1.96,0,0,3.92,0,1.96,0,0,0,0
