stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,heart,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
 14-21,6,0,6,10,0,3,0,1,2,0,0,1,5,33,50,0,0,224,2,1491,0,4,270,8,0,0
 24-34,0,0.82,0,0,0,0.82,1.64,0,0,0,0,2.46,0.82,11.49,4.93,0,0,0,0.82,1.64,0.82,0,114.1,2.46,0,0
 36-46,0,0,0,0.81,0,0,2.42,0,0,0,0,2.42,2.42,2.42,1.61,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,1.15,0,0,0,0,1.15,0,1.15,0.57,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0.98,2.94,0,0,0,0,1.96,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,0.98,0.98,0,0,0,5.89,0,1.96,0,0.98,0,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,0,0,1.06,1.06,0,0,1.06,3.19,2.12,0,0,0,1.06,0,0,0,0,0,0,1.06,0,1.06
 96-106,0,0,1.09,0,0,2.19,0,1.09,1.09,0,0,2.19,0,1.09,0,0,1.09,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0,0,0.77,0.77,0.77,0.77,1.53,0,1.53,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,1.96,0,0,0,0,1.96,0,0,0,0,1.96,0,0,0,0,0,0,0
