stage,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,immune,ionocyte,lateral.line,mesenchyme,neural,olfactory,paraxial.mesoderm,periderm,pgc,vasculature
  3-4,197.67,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,3.15,0,3.15,0
 24-34,0,0,0,0,0,1.64,0,0,0.82,0,0,0,0,0,1.64
 36-46,0,0,0,0,0,3.22,0,0,0,1.61,0,0,0,0,0
 48-58,0,0,0,0.57,0.57,1.15,0,0.57,0,0.57,0.57,0,0,0,0.57
 60-70,0,0,0,0,0,1.96,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,0,0,0,2.94,0,0,0,0.98,0,0,0,0,0
 84-94,0,0,0,1.06,1.06,2.12,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,6.56,0,0,1.09,1.09,0,0,0,0,3.28
108-118,0,0,1.53,0,0,1.53,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,11.76,0,0,0,0,0,0,0,0,1.96
