stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,2,0,0,0,0,0,0,0,31,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,23
 24-34,0,0,0,0,0,0.82,0,0.82,0,0,0,0,0.82,88.65,1.64,0,22.16,0,2.46,0,0,0,0,2.46,0,0,1.64,0,0,91.12
 36-46,0,0,0,0,0,3.22,0.81,0,0.81,0,0,0,0,86.21,0,0,19.34,0,0.81,0.81,0.81,0,0,0.81,0,0,1.61,1.61,0,82.98
 48-58,0,0,0,0,0,9.18,0,0,2.3,0,0,0,1.72,64.27,3.44,0,16.07,0,1.72,0,0.57,0,0,0.57,0,0,2.3,0,0,84.92
 60-70,0,0,0.98,0,0,12.76,0,0,0.98,0,0,0.98,4.91,32.39,2.94,0,23.56,0,0,0,1.96,0,0,0,0,0,0.98,0,0,73.61
 72-82,0,0,0,0,0,18.65,0,0,1.96,0,0,0,5.89,55.95,8.83,0.98,24.54,0,0.98,0,1.96,0,0,0.98,0,0,0.98,0.98,0,91.29
 84-94,0,0,0,0,0,22.3,0,0,4.25,0,0,0,16.99,75.4,4.25,2.12,20.18,1.06,1.06,0,1.06,0,0,0,0,0,3.19,1.06,1.06,73.28
 96-106,0,0,1.09,1.09,0,21.86,0,0,3.28,0,2.19,0,15.3,61.2,5.46,0,21.86,0,3.28,4.37,0,1.09,0,0,0,0,2.19,0,1.09,95.08
108-118,0,0,2.3,0.77,0.77,15.32,0,0,0.77,0,0.77,0,27.57,91.92,3.83,0,19.92,0,0,0,0.77,0,0,0.77,0,0,0.77,0,0.77,97.28
120,0,0,0,0,0,7.84,0,0,1.96,1.96,0,0,5.88,37.24,5.88,0,13.72,0,0,0,0,0,0,0,0,0,0,0,0,48.99
