stage,blastomeres,epidermis,eye,glial,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,pericytes,periderm,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0
 10-12,3.15,0,3.15,0,0,0,0,0,0,0,37.76,0,6.29,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
 24-34,0,0,0.82,0,0,0,0,0.82,0,0.82,0,0,0,0,0,0,0,0
 36-46,0,0.81,0,0.81,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,1.72,0,0,0,0,1.72,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,7.85,0.98,0,0,0,0,0.98,0,0,0,0,0,0,0,0.98,0
 72-82,0,0,13.74,0,0,0.98,0,0.98,0,0.98,0,0,0,0,0,0,1.96,0
 84-94,0,0,20.18,1.06,0,0,0,1.06,0,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,17.49,0,0,0,0,0,1.09,1.09,1.09,1.09,0,1.09,0,0,0,0
108-118,0,0,15.32,0,0.77,0,0,0.77,0,0,0,0,0,0,0,0,0,0
120,0,0,19.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
