stage,epidermis,eye,glial,mesenchyme,mucous,mural_cell,muscle,neural,spinal_cord
  5-6,0,0,0,0,0,0,0,6.13,0
  7-9,0,0,0,0,0,0,0,2.63,0
 10-12,0,3.15,0,0,0,0,0,0,0
 14-21,1,0,0,1,0,0,0,1,2
 24-34,0,0,0,0.82,0.82,0,0,0.82,2.46
 36-46,0,0,0,0,0,0,1.61,4.03,7.25
 48-58,0,0,0,0,0,0,0,13.2,4.59
 60-70,0,1.96,0,0,0,0,0,11.78,9.82
 72-82,0.98,7.85,0,1.96,0,0.98,0,9.82,3.93
 84-94,0,0,1.06,0,0,0,0,8.5,2.12
 96-106,1.09,3.28,0,2.19,0,0,0,6.56,2.19
108-118,0,1.53,0,1.53,0,0,0,1.53,0.77
120,0,0,0,0,0,0,0,1.96,0
