stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.57,2.63,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.12,3.15,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,3,1,0,1,0,1,0,0,0,0,0,0,0,3,0,1,0,1,7,0,0,0,0,0,0,0,1,0,0,9,1,0,0,0,0,0
 24-34,0,0,0,0,2.46,0,0,3.28,0,0,0,0,0,0,0.82,0,0,0.82,0,0,0.82,0,7.39,0.82,0,0,0,0,4.93,0,0,0,0,2.46,0.82,0,0,2.46,0,0
 36-46,0,0,0,0,4.03,0,0,3.22,1.61,0,0,1.61,0,0,0,0,0,0,0.81,3.22,0,0,4.83,0.81,0,0,0,0,6.45,0,0,0,0,0,5.64,0,0,4.83,0,1.61
 48-58,0,0,0,0,2.3,0,0,1.15,0.57,0,0.57,2.3,0,0,0,0,0.57,0.57,0,4.02,0,0,6.31,0,0,0.57,0,0,4.02,0,0,0,0,0,4.59,0,0,0,0,0
 60-70,0,0,0,0,1.96,0.98,0,8.83,0,0,0,15.7,2.94,0,0,0,0,0,0.98,4.91,0.98,0.98,8.83,0,0.98,0,0,0,8.83,0,0,0.98,0,0,0.98,0,0.98,2.94,0,0
 72-82,0,0,0,0,2.94,0.98,0,7.85,0.98,0,0.98,7.85,0,0,0,0,0,0,0,4.91,0,1.96,3.93,0,0,0,0,0.98,8.83,0,0,0,0,0,1.96,0.98,0,0.98,0,0
 84-94,0,0,1.06,0,3.19,2.12,0,7.43,0,0,0,4.25,3.19,0,1.06,2.12,2.12,2.12,0,3.19,0,1.06,4.25,0,0,1.06,0,0,20.18,0,0,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,6.56,2.19,0,4.37,0,1.09,0,2.19,2.19,0,0,2.19,1.09,4.37,1.09,4.37,1.09,0,5.46,0,0,1.09,0,0,19.67,0,0,1.09,0,0,1.09,0,0,0,2.19,0
108-118,0,0,0,0,3.06,5.36,0.77,8.43,0.77,0,0.77,0.77,1.53,0.77,0,0,2.3,0,0.77,3.06,0,0,1.53,0,0,0,0,0,9.19,0,0,0,0,0,0,0.77,0,0.77,0,0
120,0,0,0,0,9.8,0,1.96,1.96,1.96,1.96,0,1.96,3.92,0,0,1.96,0,1.96,0,3.92,0,1.96,3.92,0,0,1.96,0,0,11.76,0,0,0,1.96,0,0,0,0,5.88,0,0
