stage,blastomeres,epidermis,eye,fast.muscle,glial,hatching.gland,iridophores,liver,mesenchyme,mural.cell,muscle,neural,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,4.93,0,0,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,0,0.81,0,0,18.53,0,0,0.81,0,0,0,0
 48-58,0,0.57,1.15,0,1.15,0,0,0,2.3,0,0.57,12.05,0,0.57,0,1.15,0,0,0
 60-70,0,0,0.98,0,0,0,0.98,0,0.98,0,0,22.58,0,0,0,0.98,0,0,0
 72-82,0,0.98,5.89,0,0,0,0,0,0.98,0.98,0,18.65,0.98,0,0,0,0,0.98,1.96
 84-94,0,0,1.06,0,0,0,1.06,0,1.06,0,0,9.56,0,0,1.06,1.06,0,0,1.06
 96-106,0,1.09,1.09,1.09,0,0,1.09,1.09,2.19,0,0,9.84,0,0,0,0,1.09,0,2.19
108-118,0,0,1.53,0,0,0,0,0,0.77,0,0,6.13,0,0,0,0.77,0,0,0.77
120,0,1.96,1.96,0,0,0,0,0,1.96,0,0,9.8,0,0,0,0,0,0,1.96
