stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,49.95,0,0,5.26,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,118.29,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,75.53,0,0,62.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1022.77,0,0,0,25.18,3.15,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,49,878,1,120,0,0,0,24,14,1,2,1,11,0,0,2,0,14,0,0,13,1162,2,1,15,0,5,1,2,1,1,7,335,0,0,3,0,0
 24-34,0,0,14.78,128.05,1.64,77.16,0,0,0,13.95,1.64,0,12.31,7.39,0.82,0,1.64,9.85,0,9.85,1.64,0.82,4.93,415.35,3.28,1.64,0.82,0.82,1.64,0,0,0,0.82,1.64,158.43,0,0,0.82,0,0
 36-46,0,0,0.81,10.47,0,36.26,0,0,0,4.83,0,0,13.7,4.03,1.61,0,0,2.42,0,8.86,0.81,1.61,1.61,118.43,3.22,1.61,0.81,0,1.61,0,0,0,0,0,56.4,0,0,0.81,0,0.81
 48-58,0,0,0,3.44,0,32.13,0.57,0,0,2.3,0,0,2.3,3.44,1.15,0,0.57,1.72,0,8.03,0,1.72,0,44.18,1.72,0.57,0,0,5.16,0,0,0,0,0,17.79,0,0,2.3,0,0.57
 60-70,0,0,0,2.94,0,21.59,0,0,0,4.91,0,0,0,7.85,0,0,0,0,0.98,8.83,0,0.98,1.96,60.85,1.96,0.98,0.98,0,14.72,0,0,0,0,0,5.89,0,0,2.94,0,0
 72-82,0,0,0,2.94,0,29.45,0,0.98,1.96,5.89,0.98,0,0,12.76,0.98,1.96,0,0,0,11.78,0,1.96,0.98,47.12,0,4.91,1.96,0,13.74,0,0,5.89,0,0,0.98,0,0,2.94,0,0
 84-94,0,0,0,2.12,0,27.61,1.06,0,0,0,3.19,0,0,15.93,6.37,0,1.06,0,0,14.87,1.06,3.19,1.06,26.55,2.12,2.12,1.06,0,20.18,0,0,9.56,0,0,1.06,1.06,0,8.5,0,0
 96-106,0,0,0,5.46,1.09,28.41,0,0,0,5.46,5.46,0,3.28,26.23,1.09,0,1.09,0,0,14.21,0,3.28,1.09,28.41,0,4.37,2.19,0,28.41,0,0,9.84,0,0,0,0,2.19,8.74,1.09,0
108-118,0,0,0,9.19,0,22.98,0,0,0,6.13,3.06,0,1.53,18.38,3.83,0.77,0,0,0,16.09,0,0,0,27.57,0,1.53,1.53,0,12.26,0,0,13.79,0,0,0.77,0.77,2.3,4.6,0,0
120,0,0,1.96,9.8,3.92,17.64,0,0,0,3.92,5.88,0,5.88,37.24,3.92,1.96,0,0,0,5.88,0,1.96,0,21.56,0,5.88,5.88,0,37.24,0,0,15.68,0,0,0,3.92,0,5.88,1.96,0
