stage,blastomeres,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,immune,iridophores,mesenchyme,mural.cell,muscle,neural,paraxial.mesoderm,pericytes,periderm,somites,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0,0,0,0
 14-21,0,4,1,0,0,0,0,0,0,1,0,1,3,0,0,0,2,2,1,0
 24-34,0,0.82,0,0,0,0,0,0,0,1.64,0,0.82,7.39,0,0,0,0,0,2.46,0
 36-46,0,0,0,0,0.81,0,0,0,0,5.64,0,2.42,2.42,0,0,0,0,0,3.22,0
 48-58,0,0,0,0.57,1.15,0,0.57,0,1.15,1.15,0,0.57,0.57,0,0,0,0,0,2.3,0
 60-70,0,0,0.98,0.98,0,0,1.96,0,0,0.98,0,0.98,0,0,0,0,0,0,2.94,0
 72-82,0,0,0.98,0,2.94,0,2.94,0,0.98,12.76,0.98,0.98,1.96,0,0.98,0,0,0,9.82,0
 84-94,0,0,0,0,3.19,0,1.06,1.06,0,9.56,0,1.06,1.06,0,0,0,0,0,11.68,0
 96-106,0,0,0,0,1.09,1.09,3.28,0,1.09,9.84,4.37,0,2.19,0,0,0,0,0,4.37,0
108-118,0,0,0,0.77,0,0,1.53,0.77,0,7.66,0.77,0.77,3.83,0,0,0.77,0,0,10.72,0.77
120,0,0,1.96,0,0,1.96,0,0,0,9.8,3.92,1.96,0,0,0,0,0,0,11.76,0
