stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,glial,immune,iridophores,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,18,1,0,0
 24-34,0.82,0,0,0,0,0.82,0,0,0,0,0,2.46,1.64,78.8,1.64,0.82,0,0.82,35.3,1.64,0,0
 36-46,0,0,0,0,0,7.25,0,0.81,0,0.81,0,4.83,4.03,108.77,0.81,0,0,0,32.23,0,0,0
 48-58,0,0,0.57,0,0,34.43,0,4.59,0,0,0,8.03,0.57,134.84,0.57,0,0,0,24.1,0.57,0,1.72
 60-70,0,0,0,0,0,94.23,0,8.83,0,0,0,16.69,0.98,211.03,0,0,0,0,21.59,0.98,0,1.96
 72-82,0,0,0.98,0.98,0,128.6,0,16.69,0,0,0,21.6,0,182.59,1.96,0,0,0,19.63,4.91,0,0.98
 84-94,0,0,0,0,0,63.72,1.06,8.5,0,1.06,0,16.99,2.12,91.34,0,0,1.06,0,8.5,4.25,0,0
 96-106,1.09,0,0,0,0,37.16,0,9.84,1.09,2.19,0,16.39,1.09,75.41,0,2.19,0,0,5.46,2.19,1.09,3.28
108-118,0,0,1.53,0,0.77,24.51,0,9.19,0,2.3,0.77,11.49,1.53,65.87,0,0,0,0,1.53,3.06,0,0.77
120,0,1.96,0,0,0,11.76,1.96,9.8,0,0,0,3.92,0,25.48,0,0,0,0,3.92,1.96,0,0
