stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,vasculature,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,12,0,0,0,0,1,1,0,6,0,0
 24-34,0,0,0,3.28,0,1.64,0,0.82,0,0,0,0,0,0,0,8.21,0.82,3.28,0,0,0.82,18.88,0.82,0.82,0,0,0,0,0,3.28,1.64,0
 36-46,0,0,0,0,0,8.86,0,0,4.03,0,0,0,0,0,0,1.61,0,2.42,0,0,0.81,30.62,0.81,0,0,1.61,0,0,0,4.83,0,0
 48-58,0,0,0,1.15,0,9.75,0,0,3.44,0,0,0,0.57,0,0,6.31,1.15,1.15,0,0,0,29.26,0,0,0,1.15,0,0,0,4.02,0,0
 60-70,0,0,0,0.98,0,53.98,0.98,0,0.98,0,0,0,0,0,0,20.61,0,3.93,0,0,0,46.13,0,0,0,0,0,0,0,3.93,0,0
 72-82,0,0,0,0.98,0.98,41.23,0,0,4.91,0.98,0,0,0,0,0.98,83.44,0,1.96,0,0,0.98,49.08,0,0.98,0,0.98,0,0,0,3.93,4.91,0
 84-94,0,0,1.06,3.19,1.06,20.18,0,2.12,1.06,1.06,0,0,1.06,1.06,0,355.78,0,4.25,0,1.06,1.06,23.36,0,0,0,1.06,0,0,0,1.06,1.06,0
 96-106,0,0,0,1.09,3.28,16.39,0,1.09,5.46,0,1.09,1.09,2.19,0,0,606.53,0,6.56,0,0,1.09,59.01,0,0,0,5.46,0,0,0,1.09,1.09,0
108-118,0,0,0,0,1.53,19.15,0.77,0,6.89,0.77,0,1.53,0,0,0,1241.63,0,10.72,2.3,0,0,68.94,0.77,0,0,1.53,0,0.77,0.77,0,1.53,0.77
120,0,0,0,3.92,1.96,9.8,0,0,5.88,1.96,0,1.96,0,0,0,603.61,0,7.84,0,0,0,41.16,0,0,0,3.92,0,0,0,0,1.96,0
