stage,blastomeres,endocrine_pancreas,epidermis,eye,glial,liver,mesenchyme,mural_cell,muscle,neural,paraxial_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,1,4,0,0,2,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,2.46,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,5.64,0,0,0,0,0,0
 48-58,0,0,0,1.15,0.57,0,1.72,0,0.57,8.03,0,0,0,1.15,0,0.57
 60-70,0,0,0,0.98,0.98,0,0,1.96,0,10.8,0,0.98,0,0,0,0
 72-82,0,0.98,0,2.94,0.98,0,1.96,0.98,0,17.67,0,2.94,0,0,0,3.93
 84-94,0,0,0,1.06,0,0,1.06,0,0,6.37,0,3.19,0,0,0,4.25
 96-106,0,1.09,0,1.09,1.09,0,0,1.09,0,5.46,0,2.19,0,0,2.19,2.19
108-118,0,0,0.77,3.83,0.77,0,1.53,0,0,6.13,0,0,0,0,1.53,3.06
120,0,1.96,0,1.96,0,0,0,0,0,9.8,0,0,0,0,0,1.96
