stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,lateral.line,mesenchyme,mucous,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,3.15,0,0,0,3.15,0,0,0
 14-21,0,2,0,0,0,0,0,39,0,0,2,0,6,1,7,2,0,0,1,52,2,64,0,1
 24-34,0,0.82,0,0,0.82,0,0,24.63,0,1.64,2.46,0,18.88,0,24.63,4.1,0,0,0,40.22,0,46.79,0,0
 36-46,0,0,0,0,12.89,0.81,0,15.31,0,0,0,0,24.17,0,19.34,2.42,0,0,0,16.11,0,40.28,0,0
 48-58,0,0,0,0,10.9,0,0,20.66,0,1.72,0,0,24.1,0,13.77,5.74,0,0,0,7.46,0,34.43,0,0
 60-70,0,0,0,0,4.91,0,0,19.63,0,7.85,0.98,0,36.32,0,15.7,6.87,0,0,0,4.91,0,10.8,0,0
 72-82,0,0.98,0,0,4.91,0.98,0,26.5,0.98,11.78,4.91,0,27.49,0,28.47,21.6,0,0.98,0,1.96,0,17.67,0,0
 84-94,0,0,0,0,8.5,0,1.06,25.49,0,22.3,2.12,0,16.99,0,33.99,45.67,0,0,0,8.5,0,19.12,1.06,0
 96-106,0,0,2.19,0,3.28,0,0,21.86,1.09,34.97,0,1.09,10.93,0,45.9,53.55,0,0,0,7.65,0,17.49,0,0
108-118,0,0,2.3,0.77,3.83,0,0,14.55,0,26.81,1.53,0.77,22.21,0,32.17,33.7,0,0,0,9.19,0,7.66,0,0
120,0,0,0,1.96,5.88,0,0,13.72,0,15.68,0,0,23.52,0,27.44,27.44,0,0,0,9.8,0,7.84,0,0
