stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,glial,hatching.gland,immune,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pronephros,slow.muscle,spinal.cord,vasculature
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 14-21,0,0,1,1,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,18,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0.82,0,0,0.82,22.98,0,0,0,0,0,7.39,0
 36-46,0,0,0,0,0.81,4.83,0,0,0,0,0.81,0,0,0,59.62,5.64,0,0,0,0.81,9.67,0
 48-58,0,0,0,0,0.57,6.31,1.15,0,0.57,0,0,0,0.57,0,62.54,1.15,0,0,0,0,8.61,0
 60-70,0,0,0,0,0.98,53.98,1.96,0,0,0,0.98,0,0,0,215.93,0.98,0.98,0,0,0,19.63,0.98
 72-82,0,0,0,0,0.98,33.38,3.93,0,0,0,1.96,0,0,0,51.05,0.98,0,0,0,0,6.87,0
 84-94,0,0,0,0,0,24.43,2.12,0,1.06,0,1.06,0,0,1.06,57.35,0,0,0,0,0,8.5,0
 96-106,0,0,1.09,0,0,13.11,4.37,0,0,0,0,1.09,0,0,27.32,0,0,0,0,0,0,0
108-118,0,0,0,0,2.3,17.62,2.3,0,0.77,0.77,2.3,0,0,0.77,45.96,1.53,0,0,0,0,1.53,0
120,0,0,0,0,1.96,17.64,0,0,1.96,0,0,0,0,0,33.32,0,0,0,1.96,0,1.96,0
