stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,hatching.gland,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature
  3-4,0,276.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,251.32,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,24.52,0,0,0
  7-9,5.26,5.26,2.63,0,0,10.51,0,0,2.63,0,0,0,0,0,94.63,0,0,0,34.17,0,0,0,0
 10-12,0,3.15,0,0,0,9.44,0,0,3.15,0,0,0,0,0,94.41,3.15,0,0,50.35,0,6.29,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,6,0
 24-34,0,0,0,0,0,0,0,0.82,0,0.82,0,0,0,1.64,25.45,0,0.82,0,0,0,0,3.28,0
 36-46,0,0,0,0,0,3.22,0.81,0.81,0,0,0,2.42,0,0,11.28,0,0,0,0,0,0,0.81,0
 48-58,0,0,0,0,0,5.74,0,0,0,0,0,1.15,0.57,0,5.16,0,0,0,0,1.15,0,1.15,0.57
 60-70,0,0,0,0,0,0.98,0,0,0,0,0,3.93,0,1.96,3.93,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,0,0,7.85,0,0.98,0,0,0,0.98,0,0,0.98,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,1.06,0,0,0,0,1.06,2.12,0,0,3.19,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,0,1.09,1.09,0,0,0,0,0,2.19,1.09,0,4.37,0,0,0,0,1.09,0,0,0
108-118,0,0,0,0,0,0,0,0.77,0,0,0,0.77,0,0,1.53,0,0,0,0,0,0,0,0
120,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0
