stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,0,0,0,6.29,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,62,8,5,0,0,0,11,0,0,1,0,0,0,0,0,18,0,0,17,113,0,0,2,0,0,1,0,1,0,0,2,566,0,0,1,0,0
 24-34,0,0,0.82,105.89,2.46,4.1,0,2.46,0,18.06,0,1.64,16.42,0,0.82,0,4.1,0,35.3,0,0,32.01,78.8,0.82,2.46,0,0,0,7.39,0,1.64,1.64,0,0.82,192.08,0,0,33.66,0,0
 36-46,0,0,0,49.15,0.81,6.45,0,0,0,4.03,0,0,7.25,0,0,0,14.5,0,23.36,0.81,0.81,16.11,41.09,0.81,1.61,1.61,0,0,19.34,0.81,0,0.81,0,0,39.48,0,0,53.98,0,0
 48-58,0,0,0,42.46,0,5.16,1.15,0.57,0,3.44,0,0,21.8,0.57,0,0,10.33,0,24.67,0,0,8.03,29.84,2.3,1.72,1.72,0,0.57,47.63,0,0,0,0,0,8.61,0,0,57.95,0,0.57
 60-70,0,0,0,45.15,0,8.83,0,3.93,0,2.94,0,0,14.72,0,0.98,0,10.8,0,24.54,1.96,0,5.89,18.65,1.96,3.93,4.91,0,0.98,36.32,0,0,0,0,0,1.96,0,0,52.02,0,0
 72-82,0,0,0,52.03,0.98,7.85,0.98,0.98,0.98,4.91,0,0,22.58,0,4.91,1.96,19.63,0,33.38,1.96,0,8.83,22.58,0.98,11.78,2.94,0,0,59.88,0,0,0,0.98,0,0.98,0,1.96,121.73,0,0
 84-94,1.06,0,0,98.77,0,10.62,0,7.43,0,3.19,2.12,0,19.12,3.19,0,0,26.55,0,9.56,0,3.19,7.43,8.5,4.25,14.87,4.25,0,1.06,241.08,0,0,0,0,0,0,1.06,2.12,118.95,0,1.06
 96-106,0,0,0,168.3,2.19,18.58,2.19,15.3,3.28,6.56,8.74,0,26.23,4.37,4.37,1.09,40.44,1.09,37.16,4.37,1.09,12.02,22.95,2.19,46.99,10.93,0,0,259,0,0,0,1.09,0,2.19,2.19,0,173.76,0,0
108-118,0,0,0,120.26,0.77,17.62,0.77,14.55,0.77,4.6,11.49,0,12.26,3.83,9.96,0.77,15.32,0.77,24.51,5.36,0.77,8.43,21.45,4.6,18.38,6.89,0,0,226.73,0,0,1.53,0,0,0,1.53,1.53,158.55,1.53,0.77
120,0,0,0,94.07,0,7.84,0,15.68,0,1.96,0,0,11.76,0,1.96,0,9.8,0,15.68,1.96,3.92,3.92,15.68,1.96,13.72,3.92,0,0,139.14,0,0,0,0,0,0,0,0,125.43,0,0
