stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,0,0,0,0,2,0,0,4,0,0,1,0
 24-34,0,0,1.64,0,1.64,0.82,0,0,0,0.82,0,0.82,0,0,37.76,0,0,75.52,12.31,0,0,0,0,0,0,0.82,0,9.85,2.46,0,0,0
 36-46,0,0,0,0,0,3.22,0,2.42,0,0,0,0,0,0,85.4,0,0,103.93,7.25,0,0,0,0,0,0,0.81,0.81,1.61,2.42,0,0,0
 48-58,0,0,0,0,3.44,6.31,0,5.74,0,0,0,0,0,0,102.71,0,0.57,99.84,13.2,0,0,0,0,0,0,0,1.15,0,1.15,0,0,0
 60-70,0,0,0,0,2.94,5.89,0.98,3.93,1.96,0,0,0,0,0,213.97,0,1.96,96.19,5.89,0,0.98,0,0.98,0.98,0,0,1.96,0,0.98,0,0.98,0
 72-82,0,0,1.96,0.98,15.71,4.91,0,5.89,2.94,0,0.98,0.98,0,0,398.55,0,2.94,153.14,22.58,0,3.93,0,0,0,0,0.98,0.98,0,0.98,1.96,0.98,0.98
 84-94,0,0,6.37,0,35.05,3.19,1.06,4.25,2.12,0,0,0,0,0,318.61,0,4.25,116.82,8.5,0,8.5,0,0,0,0,0,6.37,0,2.12,5.31,0,3.19
 96-106,0,0,5.46,0,17.49,3.28,2.19,0,5.46,1.09,0,0,1.09,0,299.44,0,5.46,110.38,20.76,1.09,14.21,0,1.09,0,0,1.09,1.09,0,1.09,0,1.09,10.93
108-118,0,1.53,0.77,0,9.96,0.77,0,2.3,2.3,1.53,0.77,0,0,0.77,307.92,0.77,7.66,85.79,22.21,0,6.13,0,0.77,0,0,0,1.53,0,0,0.77,0,9.96
120,0,0,5.88,0,7.84,1.96,0,3.92,0,1.96,0,0,0,0,197.94,0,1.96,76.43,23.52,0,13.72,0,0,0,0,0,0,0,0,0,0,9.8
