stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,39.53,434.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0
  5-6,30.65,588.44,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,12.26,0,0,0,0,0,0
  7-9,10.51,7.89,7.89,0,0,13.14,0,0,2.63,0,0,0,0,0,0,0,0,257.61,5.26,0,0,65.72,2.63,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,31.47,0,0,3.15,0,0,0,0,0,0,0,0,147.91,0,0,0,28.32,0,3.15,0,12.59,0,0,0
 14-21,0,0,1,6,2,1,0,0,0,0,0,0,0,0,1,0,2,6,0,0,1,1,2,0,2,0,3,1,1
 24-34,0,0,0,2.46,0,0,0,0,0,0,0,0,0,0,0,0,0,5.75,0,0,0,0,0.82,0,0,0,0,0.82,1.64
 36-46,0,0,0,1.61,0,0.81,0,0,0,0,0,0,0,0,1.61,0,0,4.83,0,0.81,0,0,0.81,0,0,0,0,1.61,1.61
 48-58,0,0,0,0.57,0,2.3,0,0.57,0,0.57,0,0,0,0,1.15,0.57,0,4.59,0,0,0,0,0.57,0,0,0,0,0.57,2.87
 60-70,0,0,0,3.93,0,2.94,0.98,0,0,0,0,0.98,0,0,2.94,0,0,2.94,0,0,0,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0.98,0,0,0,0,0,0,0,2.94
 84-94,0,0,0,0,0,1.06,0,1.06,0,0,0,0,0,0,0,0,1.06,1.06,0,0,0,0,5.31,0,0,0,0,0,1.06
 96-106,0,0,0,0,0,0,0,1.09,0,0,0,0,0,2.19,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0,1.53,0,0,0,0,0,0,0.77,0,0,0.77,0.77,0,0.77,2.3,0,0,0,0,3.06,0,0,0,0,0,0
120,0,0,0,5.88,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,1.96,1.96,0,1.96,0,0,0,0,0,0
