stage,blastomeres,endocrine.pancreas,epidermis,eye,glial,mesenchyme,neural,olfactory,periderm,spinal.cord
  3-4,13.18,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,2,0,1,1
 24-34,0,0.82,0,0,0,0,9.03,0,0,0.82
 36-46,0,0,0,0,0,0,19.34,0,0,3.22
 48-58,0,0,0,0.57,0,0.57,36.72,0,0,5.16
 60-70,0,0.98,0,6.87,0,0,41.22,0,0,3.93
 72-82,0,0,0,6.87,0,0,29.45,0,0,1.96
 84-94,0,0,1.06,6.37,3.19,0,12.74,0,0,1.06
 96-106,0,0,0,0,0,1.09,9.84,1.09,0,0
108-118,0,0.77,0,2.3,0,0,11.49,0,0,0
120,0,0,0,1.96,0,0,13.72,0,0,1.96
