stage,epidermis,eye,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,visceral.smooth.muscle,xanthophores
 14-21,1,0,0,1,0,0,0,0,0,1,0,0,14,0,0,0,2,1,1,6,0,0
 24-34,1.64,0.82,0,0,0.82,0,0,0,0,1.64,0,0,10.67,0,0,0,0,0,0.82,17.24,0,0
 36-46,0,0.81,0,0,0,0,0,0,0,0,0,0,8.86,0,0,0.81,0,0,0,40.28,0,0
 48-58,0.57,5.74,0,0,0,0.57,0,0,0,1.15,0,0,22.38,0.57,0,0,0,0.57,0,29.84,0,0
 60-70,1.96,5.89,0,0.98,0.98,0.98,0,0.98,0,0,0.98,0,18.65,0,0,0.98,0,0,0,33.37,0,0
 72-82,0,4.91,0,0.98,0,0,0,0,0.98,0.98,0,0.98,15.71,0,0,0,0,0,0,17.67,0,0.98
 84-94,1.06,3.19,0,0,1.06,0,0,0,0,1.06,0,0,14.87,1.06,0,1.06,0,1.06,0,9.56,0,0
 96-106,1.09,2.19,0,0,2.19,0,1.09,0,0,2.19,0,1.09,14.21,0,0,0,0,0,0,3.28,0,0
108-118,3.06,5.36,0.77,0,0,0,0,0,0,0,0,0,6.13,0.77,0,0,0,0,0,0.77,0.77,0
120,1.96,0,0,0,5.88,0,0,0,0,0,1.96,0,9.8,0,1.96,0,0,0,0,3.92,0,0
