stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,21.03,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,1,3,0,9,0,0,0,0,0,0,0,0,0,1,36,0,0,51,39,2,0,0,0,0,0,1,19,2,7,34,0,0,0,0,0
 24-34,0,0,3.28,0,1.64,0.82,9.03,0.82,3.28,0,0,0,1.64,0,0,0,2.46,164.99,0,0.82,133.8,139.55,2.46,0.82,0.82,0.82,0,0.82,0,68.13,1.64,0.82,49.25,0,0,0,0,0
 36-46,0,0,0,0,0,0,10.47,0.81,2.42,1.61,0,0,3.22,0,0,0,1.61,141.8,0,0.81,82.98,143.41,1.61,3.22,0,0,0,1.61,0,45.12,0,0,58.81,0,0,0,0.81,0
 48-58,0.57,0,1.72,0,0.57,1.15,44.76,1.15,5.74,1.15,0,0,1.72,0,0,0,2.3,193.37,0,3.44,51.64,138.86,2.87,0.57,0,0,0,2.3,0,29.26,0,0,32.71,0,1.72,2.3,0,4.02
 60-70,0,0,0,0,2.94,0,116.8,0,3.93,4.91,0,0,0.98,0,0,0,0.98,232.62,0,11.78,28.46,208.08,0,2.94,0,0,1.96,3.93,0,23.56,0,0,27.48,0,6.87,0,3.93,0.98
 72-82,0,0,0.98,0,1.96,0.98,162.96,0,7.85,13.74,4.91,0,0,0.98,0.98,0.98,4.91,333.77,0,13.74,30.43,211.06,0,6.87,0.98,0,0.98,3.93,0,19.63,0,0,21.6,0,24.54,5.89,15.71,4.91
 84-94,0,0,0,0,7.43,0,90.27,0,6.37,13.81,10.62,1.06,0,1.06,0,1.06,8.5,208.16,0,9.56,14.87,103.02,0,3.19,0,0,0,8.5,0,56.29,0,0,10.62,1.06,21.24,6.37,22.3,2.12
 96-106,0,0,0,0,8.74,0,95.08,2.19,2.19,9.84,14.21,0,1.09,2.19,0,0,4.37,196.71,1.09,8.74,5.46,120.21,0,14.21,0,0,3.28,3.28,0,48.09,0,0,6.56,0,21.86,1.09,18.58,1.09
108-118,0,0,5.36,0,13.02,0,86.55,0.77,3.83,16.09,19.92,0,2.3,0,0,0,3.06,153.19,0,3.06,12.26,121.79,0,8.43,2.3,0,4.6,3.83,0,55.15,0,0,4.6,0.77,20.68,3.06,14.55,0
120,0,0,1.96,0,7.84,0,94.07,3.92,5.88,21.56,29.4,0,3.92,0,0,0,0,143.06,0,3.92,13.72,113.67,1.96,11.76,1.96,0,1.96,3.92,0,31.36,0,0,7.84,0,9.8,3.92,9.8,0
