stage,mesenchyme,neural,olfactory
 24-34,0,0,2.46
 36-46,0,0.81,13.7
 48-58,0,0.57,12.62
 60-70,0,0,17.67
 72-82,0.98,2.94,38.28
 84-94,0,0,40.36
 96-106,0,0,76.5
108-118,0,0,38.3
120,1.96,0,50.95
