stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,26.29,0,0,0,7.89,0,5.26,2.63,0,0,0,0,0,0,0,0
 10-12,3.15,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,72.38,0,0,0,28.32,0,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,3,3,0,0,0,1,0,0,1,0,0,0,0,0,1,5,0,0,0,0,0,15,0,1,0,1,3,0,0,2,0
 24-34,0,0,0,0,0,0,4.93,0,0,0,0,0,0,4.93,1.64,3.28,0.82,0.82,22.16,0.82,0,0,0,0,25.45,0,0,0,0,5.75,0,0,6.57,0
 36-46,0,0,0,0,0,0,4.03,0,0,0,0,0,0,3.22,0,0,0,0,11.28,0,0,0,0,0,37.06,0,0,0,0,4.03,0,0,6.45,0
 48-58,0,0,0,0,0.57,0,10.9,0.57,0,0,0,0.57,0.57,1.15,0,1.72,0.57,0,4.02,0.57,0,0,0,0,20.66,0,0,0,0,1.15,0,0,4.02,0
 60-70,0,0,0,1.96,0,0,5.89,0.98,0,0,0,0,3.93,1.96,0,0.98,0.98,0.98,0,0,0,0.98,0,0,33.37,0,0,0,0,0,0,0,2.94,0
 72-82,0,0.98,0,0,0,0,16.69,0,0,1.96,0,0,0.98,0.98,0,3.93,3.93,0,5.89,0,0,0.98,0,0,46.14,0,0,0,0,0,0,0,5.89,0
 84-94,0,0,0,4.25,0,0,1.06,1.06,0,1.06,0,0,7.43,6.37,0,3.19,2.12,0,3.19,0,0,1.06,0,0,129.57,0,0,0,0,1.06,0,0,3.19,1.06
 96-106,0,0,0,5.46,2.19,1.09,2.19,1.09,1.09,9.84,0,0,6.56,7.65,1.09,3.28,5.46,0,4.37,0,0,1.09,0,1.09,110.38,0,0,0,0,0,1.09,0,6.56,1.09
108-118,0,0,0,3.06,0.77,0.77,1.53,0.77,0,8.43,0,0.77,4.6,9.96,0,2.3,2.3,0,3.83,0,0.77,0,0,0,67.4,0,0,0,0,0,0,0.77,6.89,0
120,0,0,0,3.92,0,0,1.96,0,1.96,5.88,0,0,7.84,1.96,0,1.96,0,0,7.84,0,0,0,0,0,35.28,0,0,0,0,0,0,0,3.92,0
