stage,axial,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,3,0,0,0,0
 24-34,0,0,0.82,0,3.28,0,0.82,0,0,0.82,0,0,0,0.82,0,0,0,15.6,0,0,0,0,0.82,6.57,0,0,0,0
 36-46,0,0,0,0,3.22,0,0,1.61,0,0,0,0,0,0,0,0,0,23.36,0,0,0,0,0,4.83,0,0,0,0
 48-58,0,0,0,0,11.48,0,0,0.57,0,1.15,0,0,0,0.57,4.02,0,0,44.76,0,0,0,0,0.57,2.87,0,0,0.57,0
 60-70,0,0,0.98,0,18.65,0,0,5.89,0,0,0,1.96,0,0.98,4.91,0,0,44.17,0,0,0,0,0,3.93,0,0,0,0
 72-82,0,0,0,0,14.72,0,0,4.91,0,0.98,0,0.98,0,0.98,2.94,0,0,60.86,0,0.98,0,0.98,0,6.87,0,0.98,0,0
 84-94,0,0,1.06,0,13.81,0,0,4.25,0,0,1.06,1.06,0,1.06,4.25,0,0,27.61,0,1.06,0,0,0,2.12,0,0,1.06,0
 96-106,0,1.09,0,0,8.74,1.09,0,9.84,1.09,0,0,6.56,1.09,0,5.46,0,0,26.23,2.19,0,0,0,0,2.19,1.09,0,0,2.19
108-118,0,0,0,0,7.66,0.77,0,2.3,0,0,0,3.83,0,1.53,3.83,0.77,0,24.51,0,0,0,0,0,0,0,0,0.77,0
120,0,0,0,1.96,11.76,0,0,9.8,0,0,0,0,0,0,3.92,0,3.92,66.63,0,0,0,0,1.96,0,1.96,0,0,0
