stage,axial,blastomeres,endocrine.pancreas,epidermis,eye,glial,gut,ionocyte,mesenchyme,mural.cell,muscle,neural,paraxial.mesoderm,pericytes,periderm,spinal.cord,vasculature
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,2,0,1,4,1,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.64,20.52,0,0,0,0,0
 36-46,0,0,0,0.81,0,1.61,0,0,12.89,0,3.22,24.17,0,0,0,1.61,0
 48-58,0,0,0.57,0,0,0,0,0,14.92,0,3.44,20.08,0,0,0,2.3,0.57
 60-70,0,0,0,0,0.98,0,0,0,24.54,0,0,32.39,0,0.98,0,0,0
 72-82,0,0,0,0,2.94,0.98,0,0,22.58,0,0,37.3,0,0,0,3.93,0
 84-94,0,0,0,1.06,3.19,1.06,1.06,0,9.56,0,1.06,16.99,0,0,2.12,0,0
 96-106,0,0,0,0,2.19,0,0,0,21.86,1.09,1.09,17.49,0,0,0,2.19,0
108-118,0,0,0,0,0.77,1.53,0,0.77,13.79,0,0.77,13.02,0,0,0,0.77,0
120,0,0,0,0,0,3.92,0,0,5.88,0,0,45.08,0,0,0,3.92,0
