stage,axial,blastomeres,epidermis,erythrocytes,eye,ionocyte,mesenchyme,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature
  3-4,13.18,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,7.89,0,0,49.95,0,15.77,2.63,0,0,0,0
 10-12,0,12.59,0,3.15,3.15,0,0,72.38,6.29,22.03,0,0,6.29,0,0
 14-21,0,0,2,0,0,0,1,2,0,0,0,1,0,2,0
 24-34,0,0,0,0,0,0,0.82,5.75,0,0,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,0.81,0,0,0,0,0,0.81,0.81
 48-58,0,0,0,0,0.57,0.57,0,0,0,0,0.57,0,0,0,0
 72-82,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0
