stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,39,0,0,0,0,3,0,1,1,0,0,0,0,0
 24-34,0,0,0.82,18.06,0,0,2.46,0,0,0,0.82,13.95,0,0.82,0,0,0,0.82,0.82,4.1,0,0,1.64,30.37,22.16,0.82,0,0,2.46,16.42,0,0,3.28,0,0,0.82,0,0
 36-46,0,0,0,0.81,0,0,1.61,0,0,0,0.81,14.5,0.81,0,0,0,0,0,0,3.22,0,0,0.81,24.98,7.25,1.61,0,0,0.81,12.09,0,0,4.83,0,0,0,0,0
 48-58,0,0,0,1.15,1.15,0,9.75,0,0.57,0.57,2.87,17.79,0,0.57,0,0,0,2.87,0,5.16,0,0.57,1.15,35,0.57,0,0,0,0.57,5.16,0,0,4.59,0,0,0.57,0,1.15
 60-70,0,1.96,0,2.94,1.96,0,20.61,0,0.98,2.94,1.96,74.6,0,0,0.98,0,0.98,9.82,0,10.8,0,0,0,61.84,0,0,0,0,6.87,9.82,0,0,4.91,0,0.98,1.96,0,0.98
 72-82,0,5.89,0,5.89,2.94,0,60.86,0.98,0.98,2.94,13.74,220.87,0,0.98,0,0.98,0,5.89,0,37.3,0.98,0.98,3.93,181.61,0.98,0.98,4.91,0.98,9.82,5.89,0,0,7.85,1.96,0.98,9.82,0,0
 84-94,0,3.19,1.06,9.56,6.37,1.06,29.74,0,0,3.19,7.43,405.7,1.06,3.19,2.12,0,0,3.19,1.06,19.12,1.06,1.06,3.19,103.02,1.06,3.19,1.06,0,11.68,37.17,0,0,5.31,2.12,2.12,3.19,0,4.25
 96-106,0,10.93,0,13.11,15.3,0,75.41,3.28,1.09,0,24.04,556.26,1.09,3.28,1.09,2.19,1.09,12.02,1.09,46.99,4.37,3.28,7.65,263.38,0,6.56,5.46,1.09,37.16,20.76,0,0,3.28,2.19,0,5.46,4.37,5.46
108-118,0,4.6,0,9.96,8.43,4.6,38.3,3.06,3.83,2.3,13.79,602.05,0,4.6,3.83,3.83,3.06,9.96,0.77,39.83,0.77,2.3,7.66,180.77,0.77,0,0.77,0.77,15.32,24.51,0.77,0,4.6,0.77,1.53,4.6,2.3,0.77
120,1.96,3.92,0,9.8,13.72,1.96,33.32,0,0,1.96,11.76,491.91,0,7.84,3.92,0,0,15.68,0,9.8,0,0,5.88,166.58,1.96,1.96,1.96,0,11.76,21.56,0,0,1.96,0,0,5.88,1.96,1.96
