stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,171.31,1317.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0
  5-6,110.33,1636.61,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.43,18.39,0,0,36.78,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,15.77,0,28.92,0,0,34.17,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,491.57,36.8,0,0,118.29,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,34.62,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371.34,15.73,0,0,110.14,0,0,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,12,4,6,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,4,121,2,0,1,2,0,0,10,1,1,6,35,0,0,3,0,0
 24-34,0,0,0,0,4.1,0,13.95,0,0.82,0.82,2.46,0,0.82,0,0,0.82,0,0,0,12.31,0,0,5.75,132.98,0,2.46,0.82,0,0,1.64,0,0,0,1.64,25.45,0,0,0.82,0,0
 36-46,0,0,0,0,0.81,0,13.7,0,0.81,0,4.83,0,0,0,0,0,1.61,0,0,8.06,0,0.81,4.03,77.34,0,0,0,0,0,0.81,0,0,0,0,20.14,0,0,1.61,0,0.81
 48-58,0,0,0.57,0,0,0.57,29.84,0,0.57,1.72,4.59,0,0,0,0,0.57,0,0.57,0,6.31,0,0.57,2.87,43.04,0,0,0,0,0,0,0,0.57,0,0,14.92,0,0,0.57,0,0
 60-70,0,0,0,0,1.96,0,11.78,1.96,0,0,3.93,0.98,0,0,0,0,0.98,0,1.96,8.83,0,0,1.96,29.45,0,0,0,0,0,0,0,0,0.98,0,2.94,0.98,0,0,0,0
 72-82,0,0,0,0,1.96,0,11.78,0,0,0,8.83,0,0,0,0,0,0,0.98,0,19.63,0,0,0,26.5,0,0,0,0,0,0.98,0,0,0,0,1.96,0.98,0.98,0.98,0.98,0
 84-94,0,0,0,0,0,0,5.31,0,1.06,1.06,1.06,0,0,1.06,0,1.06,0,1.06,0,9.56,1.06,0,0,7.43,1.06,1.06,1.06,0,0,2.12,0,0,0,0,3.19,1.06,0,1.06,0,0
 96-106,0,0,0,0,1.09,0,3.28,0,0,1.09,5.46,0,0,1.09,2.19,1.09,0,1.09,1.09,7.65,0,1.09,1.09,12.02,1.09,2.19,0,0,0,0,0,0,0,0,2.19,0,0,2.19,0,0
108-118,0,0,0,0,0.77,0,3.83,0,0,0,1.53,0,0,0,0,0,0,0,0.77,4.6,0,0,0.77,12.26,0,0.77,0,0,0.77,0.77,0,0,0,0,0,0.77,0,1.53,0,0
120,0,0,0,0,3.92,1.96,5.88,0,0,0,3.92,0,0,0,0,0,0,0,1.96,17.64,0,0,0,7.84,0,0,0,0,0,1.96,0,0,0,0,0,0,0,1.96,0,0
