stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,14,2,0,0,0,0,0,0,6,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,27.09,0,0.82,0,0,0,0,0,36.12,0,0,0,0,0
 36-46,0,0,0.81,0,0,0,0,8.06,0,0,0,0,0,0,0,0,0,0,0,0,0,4.03,0,0.81,75.73,0,0.81,0.81,0,0,0,0,99.9,0,0,0,0,0
 48-58,0,0,0,0,0,0.57,0,67.71,0,0,0,2.87,0,0,0,0,0,0,0,0,0.57,8.03,0,0,130.25,0,0,0,0,0,0,0,74.02,0,0,0,0,1.15
 60-70,0,0,0,0,2.94,0,0,302.31,0,0,0,7.85,0,0.98,0,1.96,0,0.98,0,0,0.98,11.78,0.98,2.94,414.2,0,0.98,0,0,0,0.98,0,125.63,0,0,2.94,0,0.98
 72-82,0,0,1.96,0,8.83,0.98,0,522.24,0,1.96,0,11.78,0,0,0,0,0,0,0,0,0.98,17.67,0,0,434.88,0,0.98,0.98,0,0,2.94,0.98,108.96,0,0,0.98,0,0.98
 84-94,0,0,0,0,4.25,4.25,0,260.2,0,2.12,1.06,13.81,0,0,0,1.06,0,0,0,1.06,0,13.81,1.06,1.06,242.14,0,0,1.06,0,1.06,3.19,1.06,63.72,0,1.06,1.06,1.06,0
 96-106,0,0,0,0,5.46,4.37,1.09,245.89,0,2.19,1.09,26.23,1.09,0,0,0,1.09,0,1.09,1.09,0,13.11,0,1.09,253.54,1.09,3.28,1.09,0,0,3.28,0,41.53,1.09,1.09,0,0,2.19
108-118,0,0,0,0,3.83,0,0,207.58,0,0.77,0.77,26.04,0,0,0,0,0,0,0,0,0,6.89,0,0.77,297.19,0,1.53,1.53,0,0.77,1.53,0,31.4,0.77,0,0.77,0.77,0.77
120,0,0,0,1.96,0,0,0,235.17,1.96,1.96,0,35.28,0,0,1.96,3.92,0,0,0,0,0,11.76,0,1.96,405.68,0,0,1.96,0,0,5.88,0,33.32,0,0,0,0,0
