stage,epidermis,exocrine.pancreas,eye,glial,gut,immune,lateral.line,liver,mesenchyme,muscle,neural,otic,pericytes,periderm,spinal.cord,taste,vasculature
 14-21,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0
 24-34,1.64,0,0.82,0,0,0,0,0,0,0,7.39,0,0.82,4.1,1.64,0,0
 36-46,0,0,0,0.81,0,0,0,0.81,0.81,0.81,19.34,0.81,0,0,3.22,0,0
 48-58,0.57,0,1.15,1.15,0.57,0,0,0,0,0,16.07,0,0,1.72,2.3,0,0.57
 60-70,0.98,0,0,0,0,0,0,0,2.94,0,15.7,0,0,1.96,0.98,0,0.98
 72-82,0,0,3.93,3.93,0,0,0,0,0.98,0.98,41.23,0,0,1.96,2.94,0,0
 84-94,1.06,0,10.62,1.06,0,0,0,0,0,0,5.31,0,0,1.06,0,1.06,1.06
 96-106,1.09,0,4.37,3.28,0,1.09,0,0,1.09,0,6.56,0,0,1.09,0,0,0
108-118,0,0.77,2.3,1.53,0,0,0.77,1.53,2.3,0,7.66,0,0,0.77,0,0,0.77
120,0,0,3.92,1.96,0,1.96,0,0,1.96,0,27.44,0,0,7.84,0,0,0
