stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,immune,iridophores,liver,mesenchyme,muscle,neural,notochord,periderm,spinal.cord,vasculature,visceral.smooth.muscle
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,15,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0.82,0,0,3.28,0.82,0
 36-46,0,0,0.81,0,0,0,0,0,0,0,7.25,0,0,6.45,0,0
 48-58,0,0,7.46,0,1.15,0,0,0,0,0,9.75,0,0,9.75,0,0
 60-70,0,0,18.65,0,5.89,0,0,0,0,0,17.67,0,0,7.85,0,0
 72-82,1.96,0,34.36,0,11.78,0,0,0,3.93,0,45.16,0,0,8.83,0,0.98
 84-94,0,0,26.55,0,8.5,0,1.06,0,3.19,0,27.61,0,0,7.43,0,0
 96-106,0,1.09,28.41,0,3.28,0,0,0,3.28,0,27.32,0,0,12.02,0,1.09
108-118,1.53,0.77,29.87,0.77,5.36,0.77,0,0.77,2.3,0,28.34,0.77,0.77,2.3,0,0
120,0,0,21.56,0,3.92,0,0,0,0,0,58.79,0,1.96,1.96,1.96,0
