stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,12,1,0,0,0,0,0,1,0,0,5,0,0,0
 24-34,0,0,0,0,4.93,0,0,1.64,0,0,0,0,0,0,7.39,0,0,30.37,0,0,0,0,0,0.82,0,0,0,15.6,0,1.64,0
 36-46,0,0,0.81,0,5.64,0,0,2.42,0,0,0,0.81,0,0,7.25,0,2.42,36.26,0,0,1.61,0,0,0,0,0,0,4.03,0,2.42,0.81
 48-58,0,0,0.57,0,5.74,0,0,0,0,0,0,0,0,0,4.02,0,0.57,18.36,0.57,0,0,0,0,0,0,0,0,7.46,0,0,0.57
 60-70,0,0,0.98,0,5.89,0,1.96,0,0,0,0,0,0.98,0,9.82,0,2.94,15.7,0,0,0.98,0,0,0,0,0,0,2.94,0.98,0.98,0
 72-82,0,0.98,0.98,4.91,9.82,0,0.98,0.98,0,0.98,0.98,0,0.98,0,4.91,0.98,0,13.74,0,0,0.98,0,0,0,0,0,0,1.96,0,0.98,0
 84-94,0,0,0,3.19,1.06,1.06,0,4.25,0,0,0,0,0,0,5.31,0,1.06,15.93,0,0,1.06,0,0,2.12,0,1.06,0,4.25,0,3.19,0
 96-106,0,0,3.28,4.37,6.56,0,0,0,0,1.09,0,0,2.19,0,10.93,0,1.09,12.02,1.09,1.09,3.28,0,0,1.09,0,0,0,1.09,1.09,0,1.09
108-118,0,0,2.3,2.3,5.36,0.77,0,2.3,0.77,0,0,0,0,0.77,5.36,0.77,0,7.66,0,0,0.77,0,0,0,0,0,0.77,0,1.53,1.53,0
120,0,0,1.96,0,1.96,1.96,1.96,0,0,0,0,0,0,0,9.8,0,0,7.84,0,0,0,0,1.96,0,0,0,0,0,0,0,0
