stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,hatching.gland,lateral.line,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature
  7-9,2.63,0,0,0,0,0,2.63,0,0,0,0,15.77,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,3.15,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,1,0,0,3,0,0,1,0,1,2,0
 24-34,0,0,0,0.82,1.64,0,0,0,0,0.82,0,9.03,0.82,0.82,0,0,0,5.75,0
 36-46,0,0,0,2.42,0.81,0,0,0,0,2.42,0.81,6.45,0.81,0,0,0,0,4.83,0
 48-58,0,0.57,0,2.87,0.57,0.57,0,0,0,1.15,0.57,2.3,0.57,0.57,0,0,0,0.57,0
 60-70,0,0.98,0,3.93,0.98,0,0,0.98,0,0,0,3.93,0.98,0.98,0,0,0,0,0.98
 72-82,0,0,0,0,0,0,0,0.98,0,0,0,2.94,1.96,0,0,0.98,0,0.98,0
 84-94,0,0,0,3.19,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12,0
 96-106,0,0,0,3.28,1.09,1.09,0,0,0,0,0,2.19,0,1.09,0,0,0,1.09,0
108-118,0,0,0,0.77,1.53,0,0,0,0,1.53,0,1.53,0,0,0,0,0.77,0,0
120,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
