stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,289.91,5600.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224.02,0,0,0,0,0,0,0,0
  5-6,373.91,4554.32,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.69,0,0,30.65,55.17,0,0,0,0,0,0,0,0
  7-9,5.26,7.89,0,7.89,0,0,0,18.4,0,0,0,0,13.14,0,0,0,0,0,0,0,0,391.68,7.89,0,99.89,0,21.03,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,0,31.47,0,0,0,0,3.15,0,0,0,0,0,0,0,0,185.67,3.15,0,47.2,0,18.88,0,3.15,0,0,0,0,0
 14-21,0,0,0,1,7,0,0,13,0,0,0,1,0,0,0,1,0,0,3,0,3,70,4,0,0,2,5,13,0,0,8,13,0,0
 24-34,0,0,0,0,0.82,0,0,9.03,0,0,0,0.82,0,0,0,1.64,0,0,6.57,0,1.64,56.64,0.82,0,0,0,0,0,0,0,0.82,13.95,0,4.1
 36-46,0,0,0,0,0,0,0,1.61,0,0,1.61,0.81,0,0,0,0,0,0,3.22,0,3.22,18.53,0.81,0,0,0,1.61,0,0,0,0,3.22,0,0
 48-58,0,0,0,0,0,0,0,2.87,0.57,0,0,2.3,0,0.57,0,0,0,0,3.44,0,0,8.03,0.57,0,0,0,0,0,0,0,0.57,1.72,0,0
 60-70,0,0,0,0,0.98,0,0,2.94,0,0,0.98,3.93,0,0,0,0,0,0,2.94,0,0.98,4.91,0,0,0,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,0,0,0,4.91,0,0,2.94,4.91,0,0,0.98,0,0,0,6.87,0,0,3.93,0.98,0,0,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,1.06,0,0,1.06,0,2.12,0,1.06,0,2.12,0,0,0,0,0,0,1.06,0,1.06,4.25,0,0,0,1.06,0,0,0,0,0,3.19,1.06,0
 96-106,0,0,0,0,1.09,0,0,4.37,0,1.09,0,3.28,0,0,0,0,0,0,2.19,1.09,0,1.09,0,1.09,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0,1.53,0.77,0,0,0.77,2.3,0,0,0,0,1.53,0,2.3,0,0,3.83,0,0,0,0,2.3,0,0,0.77,0,0,0,0.77
120,0,0,0,1.96,0,0,0,0,0,0,0,5.88,0,0,0,0,0,1.96,3.92,0,1.96,1.96,0,0,0,0,0,0,0,0,0,0,0,0
