stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,0,153.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,10.51,0,2.63,0,0,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,149.84,2.63,0,0,13.14,0,5.26,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,12.59,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223.43,6.29,0,0,31.47,0,0,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,5,76,2,0,6,0,0,3,1,0,0,0,1,0,0,6,2,12,0,0,11,78,4,0,0,1,0,30,0,12,0,8,19,0,0,3,0,0
 24-34,0,0,0.82,1.64,19.7,0.82,0,11.49,2.46,0,3.28,2.46,0,0,2.46,0,0,1.64,32.83,1.64,22.98,0,0,10.67,64.03,1.64,2.46,0.82,0,0,90.29,0,0,0,2.46,21.34,0,0,4.93,0,1.64
 36-46,0,0,0,0,8.86,0,0,8.86,0.81,0,4.03,4.03,0.81,1.61,2.42,0,0,0.81,9.67,1.61,29.81,0.81,0,3.22,29,0.81,2.42,0.81,0,0,71.7,0,0,0.81,0,16.92,0,0,5.64,0,2.42
 48-58,0,0,0.57,0,6.89,0,0,6.89,2.87,1.15,4.02,5.16,0,0,3.44,0,0,1.72,11.48,0.57,22.38,0,0.57,3.44,23.53,0,1.72,1.72,0,0,50.49,0,0,0,0,9.18,0,0,4.02,0.57,1.15
 60-70,0,0,0,0,6.87,0,0,11.78,1.96,0,3.93,24.54,0,0,0,0,1.96,0.98,6.87,0.98,24.54,0,1.96,0.98,14.72,0,0,0,0,0.98,25.52,0,0,0.98,0,5.89,0,0.98,0,0,1.96
 72-82,0,0,0.98,0.98,4.91,0.98,0.98,10.8,0,1.96,9.82,57.92,0,0,0.98,0,0,1.96,5.89,0,28.47,0,0.98,2.94,14.72,0,0,0.98,0,0.98,12.76,0,0,0,0,2.94,0,0,0,0.98,0
 84-94,0,0,0,1.06,33.99,3.19,0,23.36,1.06,5.31,12.74,157.18,0,1.06,9.56,0,1.06,1.06,13.81,1.06,27.61,0,0,7.43,19.12,0,6.37,2.12,0,0,113.64,0,0,0,0,4.25,5.31,0,6.37,2.12,1.06
 96-106,0,0,1.09,0,29.51,5.46,0,37.16,1.09,3.28,22.95,277.58,0,1.09,7.65,2.19,1.09,5.46,16.39,0,39.34,3.28,3.28,5.46,56.83,0,7.65,2.19,0,1.09,38.25,0,0,2.19,0,9.84,2.19,1.09,3.28,2.19,3.28
108-118,0,0,4.6,0,52.85,2.3,0,61.28,2.3,2.3,19.92,382.98,0,0.77,5.36,0.77,0,5.36,13.02,0.77,54.38,1.53,3.83,7.66,82.72,0,3.06,0.77,0,0.77,76.6,0,0,0.77,0,3.06,0.77,0,3.06,0,3.83
120,0,0,0,0,21.56,3.92,0,29.4,1.96,1.96,13.72,221.46,0,0,1.96,1.96,0,3.92,21.56,0,39.2,0,0,1.96,56.83,0,1.96,0,0,0,39.2,0,0,3.92,0,3.92,1.96,0,3.92,0,0
