stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,144.96,4006.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.49,0,0,0,0,0,0,0,0,0,0
  5-6,67.43,631.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,12.26,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,10.51,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,60.46,0,0,0,13.14,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,0,0,0,18.88,0,0,3.15,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,24,2,0,5,0,0,0,0,1,0,0,0,0,0,0,0,1,9,0,14,59,1,0,1,1,0,2,1,9,233,119,10,0,0,1,0,1
 24-34,0,0,0.82,0,18.06,0,0,6.57,29.55,0.82,0,1.64,0.82,0,0,0.82,0.82,0,0.82,0,0.82,8.21,0,16.42,69.77,0,4.93,6.57,0,0,1.64,0,0,123.95,111.64,15.6,0,0,4.1,0,1.64
 36-46,0,0,0,0,2.42,0,0,4.83,33.03,0,0.81,0.81,0,0,0,0.81,0,0,0,0,3.22,12.09,0,12.09,115.21,1.61,7.25,3.22,0.81,0,3.22,0,0,62.84,12.09,11.28,0,0,1.61,0,2.42
 48-58,0,0,0,0,2.87,0,0,5.16,18.36,0,1.15,1.72,0,0,0.57,3.44,0.57,0,1.72,0,2.3,4.59,0.57,13.77,95.25,0,1.15,4.59,0,0,0.57,0,0,32.71,0,9.18,0,0,1.15,0,0.57
 60-70,0,0,0,0,7.85,0,0,5.89,44.17,0.98,1.96,0.98,0,0,0,6.87,0,0.98,3.93,0,0,9.82,0,23.56,134.47,0,1.96,5.89,0,0.98,0.98,0,0,24.54,0,9.82,0.98,0,0.98,0,0
 72-82,0,0,0,0,9.82,1.96,0,21.6,52.03,0.98,0.98,4.91,0,0,0,8.83,0,0.98,9.82,0,0,8.83,0.98,13.74,211.06,0,0.98,22.58,0.98,0,0.98,0.98,0,7.85,0,8.83,2.94,0,1.96,0.98,0.98
 84-94,0,0,2.12,0,12.74,0,0,20.18,62.66,0,0,7.43,2.12,0,1.06,13.81,0,2.12,6.37,0,1.06,12.74,0,16.99,147.62,0,0,42.48,0,0,2.12,0,0,21.24,0,8.5,7.43,1.06,3.19,0,0
 96-106,0,0,1.09,0,15.3,1.09,0,12.02,81.96,2.19,3.28,4.37,2.19,0,1.09,36.06,1.09,0,19.67,1.09,0,15.3,0,18.58,135.51,0,5.46,40.44,1.09,0,4.37,2.19,0,38.25,0,6.56,6.56,0,5.46,1.09,1.09
108-118,0,0,0,1.53,4.6,0,0,13.79,76.6,2.3,0,6.13,0,0,0,32.94,0,2.3,11.49,0,0.77,13.79,0,25.28,179.24,0,0,35.23,0,0,2.3,0,0,30.64,0,5.36,8.43,0,4.6,0,0.77
120,0,0,0,0,15.68,1.96,1.96,13.72,58.79,1.96,0,3.92,0,0,0,48.99,0,3.92,3.92,0,0,5.88,0,21.56,197.94,0,0,23.52,0,0,5.88,0,0,15.68,0,1.96,5.88,0,5.88,0,0
