stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,heart,immune,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,6,0,0,0,0,0,1,0,0,0,0,1,0,0,5,0,0,0,0,14,0,0,0
 24-34,0,8.21,0,0,3.28,0,0,0,0,0,0,0,2.46,0,0,10.67,5.75,0,0.82,0,27.91,0,0,0
 36-46,0,4.03,0,0,2.42,0,0,0,0,0,0,0,0.81,0,0,20.95,7.25,0,0,0,37.06,0,3.22,0
 48-58,0,2.3,0,0,1.72,0.57,0,0,0,0,0.57,0,1.15,0,0,15.49,0.57,1.15,1.72,0,13.2,0.57,5.16,0
 60-70,0,1.96,0,0,0.98,0,0,0.98,0.98,0,0,0,9.82,1.96,0,8.83,0,0,1.96,1.96,6.87,0,5.89,0.98
 72-82,0,5.89,0,0.98,1.96,0,0.98,0,0,0,0.98,0,16.69,3.93,0.98,14.72,0,0,13.74,1.96,7.85,1.96,5.89,2.94
 84-94,0,9.56,0,0,2.12,0,1.06,2.12,0,0,1.06,0,8.5,2.12,0,10.62,1.06,0,11.68,4.25,2.12,0,8.5,2.12
 96-106,0,7.65,0,0,14.21,0,4.37,0,0,0,6.56,1.09,19.67,4.37,0,10.93,0,0,14.21,2.19,1.09,0,13.11,1.09
108-118,0,6.89,0,1.53,2.3,0,1.53,0.77,0,0.77,1.53,1.53,9.96,2.3,0,15.32,0,0,13.79,3.83,3.06,0.77,9.96,2.3
120,0,0,0,0,3.92,0,1.96,0,0,0,1.96,0,5.88,3.92,1.96,7.84,0,3.92,5.88,1.96,1.96,0,1.96,0
