stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,hatching.gland,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,1,0,0,0,0,2,0,8,0,0,1,1,1,2,4,0
 24-34,0,0,0,0,0.82,0,0.82,0,0,1.64,1.64,4.1,0.82,0,0,3.28,0,0.82,0.82,0
 36-46,0,0,0.81,0,1.61,0,0,0.81,0,4.03,0,9.67,0,0.81,0,1.61,0,0,3.22,0
 48-58,0,0,0,0,1.72,0,0.57,0,0,0,0,0.57,0,0,0,0.57,0,0,0.57,0
 60-70,0,0,0,0,0.98,0,0,0,0,0.98,0,0.98,0,0,0,0,0,0,1.96,0.98
 72-82,0,0,0,0,0,0,0,0,0,1.96,0.98,0.98,0,0,0,0,0,0,0,0
 84-94,0,0,1.06,0,0,1.06,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.09,0,1.09,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,1.53,0,0,0,0,0,0,0,0
