stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,fin_epithelia,glial,melanocytes,mesenchyme,mural_cell,neural,notochord,olfactory,otic,periderm,somites,spinal_cord,vasculature
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,10,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,105.89,0,0.82,0,0,0.82,27.91,0
 36-46,0,0,0,0,12.09,0,1.61,0.81,0,0,219.14,0,0,0,0.81,0,27.39,0
 48-58,0,0,0,0,24.67,0,6.31,0,0,0,235.83,0,0,0,0,0,32.13,0.57
 60-70,0,0,0,0.98,34.35,0.98,2.94,0,0,0,278.75,0,0.98,0,0.98,0,21.59,0
 72-82,0,0,0,1.96,25.52,0,3.93,0,5.89,0,202.22,0,0,0,0,0,17.67,0
 84-94,0,0,0,0,10.62,0,3.19,0,2.12,1.06,95.58,0,0,0,0,0,5.31,0
 96-106,0,0,0,0,4.37,0,2.19,0,1.09,0,66.66,0,0,0,1.09,0,1.09,0
108-118,0,0,0,0,6.89,0,1.53,0,0.77,0,62.81,0,0,0,0,0,1.53,0
120,0,0,0,0,1.96,0,1.96,0,1.96,0,107.79,0,0,1.96,0,0,7.84,0
