stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,23.66,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,3.15,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,0,0,15.73,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,1,8,5,1,0,0,0,0,5,3,0,0,0,0,0,0,0,0,9,0,8,60,0,0,0,0,0,1,5,0,1,29,0,0,0,0
 24-34,0,0,0,9.85,2.46,3.28,0,11.49,0.82,0,4.93,2.46,0,0.82,0,0,1.64,0.82,0,0,45.97,0,12.31,197.01,1.64,0,0,0,0,0,32.83,0.82,1.64,60.74,0,14.78,0,0
 36-46,0,0,0,0,0,0.81,0,18.53,0,1.61,17.72,2.42,0,2.42,0,0,0.81,0,0.81,1.61,41.89,4.83,8.86,170,0.81,1.61,0,0,0,0,20.14,0,0,59.62,1.61,5.64,0,0
 48-58,0,0,0,0,0,0,0,24.67,0.57,0.57,21.8,0,0,4.02,0,0,0.57,0,1.72,2.3,65.99,5.16,4.59,72.3,0,0,0,0.57,0,0,18.36,0,0,35.58,1.15,8.61,0,0
 60-70,0,0,0,0,0,0.98,0,15.7,0,4.91,29.45,0,0,0.98,0,0,5.89,0,0,0,71.65,4.91,4.91,36.32,0.98,0,0,2.94,2.94,0,18.65,0,0,17.67,4.91,15.7,2.94,0
 72-82,0,0,3.93,0,2.94,0.98,2.94,25.52,0.98,4.91,28.47,1.96,0,0.98,0,0,3.93,0,1.96,0,116.82,20.61,4.91,33.38,0.98,1.96,0,6.87,0.98,0,23.56,0,0,5.89,10.8,19.63,18.65,0
 84-94,0,0,0,0,3.19,1.06,3.19,33.99,1.06,4.25,12.74,4.25,0,0,0,0,5.31,0,7.43,1.06,66.91,13.81,2.12,37.17,0,4.25,0,4.25,1.06,0,71.16,0,0,3.19,2.12,10.62,25.49,0
 96-106,0,0,1.09,0,8.74,0,9.84,17.49,0,3.28,20.76,4.37,0,2.19,3.28,0,8.74,0,7.65,1.09,43.71,12.02,3.28,36.06,1.09,5.46,0,3.28,1.09,0,51.36,0,0,4.37,9.84,16.39,32.79,1.09
108-118,0,0,1.53,0.77,9.19,0.77,28.34,19.92,0,0.77,21.45,3.06,0,1.53,3.83,0.77,14.55,0,15.32,0.77,78.13,9.19,5.36,30.64,1.53,6.89,0,6.89,0.77,0,57.45,0,0,1.53,6.13,8.43,21.45,0
120,0,0,0,0,7.84,0,5.88,11.76,0,1.96,13.72,3.92,0,0,0,0,17.64,0,13.72,0,80.35,11.76,3.92,25.48,1.96,3.92,0,7.84,1.96,0,31.36,0,0,3.92,7.84,5.88,27.44,0
