stage,axial,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,2,0,1,0,0,0,2,0,0,0,0,0,1,0,2,0,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0.82,1.64,0,7.39,0,0,0,1.64,0,1.64,0,0,0.82,0,0,4.93,0.82,0,3.28,4.1,0,0,0,0,1.64,2.46,3.28,0,0,3.28,0,0
 36-46,0,0,0.81,2.42,0,14.5,0,0.81,0,3.22,0,0.81,0,0,0,0.81,0.81,14.5,0,0.81,7.25,10.47,0,0,0,0,0,1.61,4.03,0,0,3.22,0,0
 48-58,0,0,0,0.57,0,22.38,0,0.57,0,2.87,0,0.57,0,0.57,0,1.72,0.57,21.8,0,0.57,2.3,11.48,0,0,0,0,0,0.57,1.15,0,0,5.74,0,0
 60-70,0,0,0,1.96,0,41.22,0,0,1.96,2.94,0,0,0,3.93,0,0,0,50.06,0,0,4.91,7.85,0,0,0,0,0,1.96,2.94,0,0,5.89,0,0
 72-82,0,0,0,2.94,0,56.94,0,5.89,1.96,8.83,0.98,0,0,0.98,0,0,0,96.2,0,0,3.93,14.72,0,0,0,0,1.96,2.94,3.93,0,0.98,14.72,0.98,0
 84-94,0,0,0,8.5,0,125.32,0,3.19,2.12,9.56,0,0,0,4.25,0,1.06,0,62.66,0,1.06,5.31,2.12,1.06,2.12,0,0,2.12,3.19,3.19,0,0,5.31,0,0
 96-106,0,0,1.09,5.46,1.09,125.68,1.09,3.28,2.19,8.74,0,0,1.09,4.37,0,0,0,63.39,0,0,3.28,6.56,0,1.09,0,0,1.09,1.09,3.28,0,0,7.65,0,1.09
108-118,0,0,0,3.06,0.77,141.7,1.53,3.83,1.53,13.79,0,0,1.53,16.09,0,5.36,0,69.7,0,0.77,3.06,13.79,0.77,2.3,0,0,0,0.77,4.6,0.77,0,11.49,0,0
120,0,0,1.96,9.8,0,62.71,0,3.92,1.96,9.8,0,0,0,3.92,0,11.76,1.96,68.59,0,0,3.92,9.8,1.96,0,0,1.96,1.96,1.96,0,0,1.96,7.84,0,0
