stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,342.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,232.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,0,0,21.03,0,0,0,31.54,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,189.27,7.89,0,0,97.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.59,0,0,0,18.88,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,217.14,9.44,0,0,100.7,0,0,0,9.44,0,0,3.15,0,0,0,0
 14-21,0,0,0,1,22,3,0,3,0,0,0,2,0,1,1,0,0,0,0,0,7,0,0,4,40,2,0,0,3,0,3,5,1,1,9,12,0,0,0,0
 24-34,0,0,0,0,10.67,1.64,0,13.95,0,2.46,0,4.1,0,0,0,0,0,0,0,0,10.67,0,0,8.21,117.38,1.64,0.82,1.64,0,0,5.75,0,0.82,0,4.1,20.52,0,11.49,0,0.82
 36-46,0,0,0,0,6.45,0,0,32.23,0,1.61,0,1.61,0,0,0,0.81,0,0,0,0,13.7,0,0,3.22,107.15,0.81,0.81,0,0,0,4.03,0,0.81,0,0,21.75,0,7.25,0,0.81
 48-58,0,0,0,0,7.46,0,0,39.59,0,1.72,0.57,5.16,0,0.57,1.15,0.57,0,0,0,0,28.12,0,0.57,6.31,78.04,0.57,0,0.57,0,0,2.3,0,0,0,0,16.07,0.57,2.3,0,0.57
 60-70,0,0,0,0,12.76,1.96,0,35.33,0.98,3.93,1.96,5.89,1.96,0,0.98,0.98,0,0,1.96,0,26.5,0,0.98,0.98,74.6,1.96,0.98,0.98,0,0,3.93,0,0,0,0,5.89,1.96,2.94,0,0.98
 72-82,0,0,0.98,0,3.93,0,0,27.49,0,2.94,0.98,8.83,4.91,0,0,1.96,0,0,1.96,0.98,29.45,0.98,2.94,3.93,44.17,0,0.98,0,0,0,0,0,0,0,0,0.98,0,4.91,0,0.98
 84-94,0,0,0,0,11.68,1.06,0,9.56,0,4.25,0,4.25,1.06,0,0,3.19,1.06,2.12,1.06,1.06,12.74,3.19,2.12,3.19,35.05,1.06,1.06,0,0,1.06,4.25,0,0,0,0,3.19,0,4.25,1.06,0
 96-106,0,0,0,0,7.65,0,0,7.65,1.09,2.19,0,6.56,2.19,0,1.09,0,2.19,0,0,0,15.3,0,3.28,2.19,14.21,0,0,0,0,1.09,4.37,0,0,0,0,0,0,6.56,1.09,1.09
108-118,0,0,0.77,0,15.32,0.77,0,10.72,0,5.36,0,2.3,3.83,0,0,3.06,0.77,0.77,1.53,1.53,14.55,0,1.53,0,21.45,0,2.3,0.77,0,0,5.36,0,0,0,0,0,0,1.53,0.77,0
120,0,0,0,0,27.44,0,1.96,15.68,0,3.92,0,9.8,1.96,0,0,0,3.92,0,7.84,0,19.6,0,0,5.88,31.36,0,1.96,0,0,0,9.8,0,0,0,0,1.96,0,3.92,0,0
